Id;Nom;Niveau;PV;Famille;Rang;ResFeu;ResEau;ResTerre;ResAir;gfx
5627;Denver;248;31499;Férociraptors;4;850;825;770;825;1114205627
5645;Membre du clan de Bworkana Dominant;248;37963;Clan de Bworkana;4;802;702;802;602;1114205645
5651;Machines de Nox Dominante;248;33012;Machines de Nox;4;605;648;605;563;1114205651
5633;Primassif Dominant;248;47454;Primassifs;4;592;635;550;592;1114205633
5639;Savanastral Dominant;248;38484;Savanastraux;4;520;620;620;720;1114205639
5011;Riktus Elite Dominant;165;4800;Riktus Elite;4;398;163;281;281;120501758
5008;Magik Riktus Dominant;105;4838;Magik Riktus;4;140;160;100;60;120501171
2125;Scara Dominant;98;2520;Scaras;4;220;220;220;380;128302125
2133;Strygidaire la Froide;98;5190;Goules;4;90;254;254;549;140502133
4281;Slekzébuth;98;2184;Sleks;4;201;201;93;318;188604281
5020;Chafer Dominant;93;2153;Chafers;4;186;186;88;292;104701363
5126;Mulou-Garou Roux Grisonnant;88;2287;Mulous;4;89;7;171;89;10553373
4389;Ju Pilaire;87;1190;Moines;4;110;110;265;265;138604389
5389;Marteau-Aigri dominant;63;917;Marteaux-Aigris;4;183;105;105;183;1110205389
4369;Craqueleur Dominant;53;1431;Craqueleurs;4;96;96;178;20;129004369
2118;Moogrron Dominant;53;554;Moogrr;4;100;100;50;25;121802118
2122;Plante Dominante;53;600;Plantes des Champs;4;120;54;54;96;101602122
5377;Forban Kahl;48;398;Équipage du poulpe;4;98;98;98;98;1109805377
5383;Mort-brûlé dominant;48;446;Morts-brûlés;4;40;120;80;120;1110005383
4764;Gligli Dominant;45;1539;Gliglis;4;100;100;100;100;100702119
4092;Tofu Dominant;23;460;;4;120;0;0;240;100104092
4378;Ogrest;230;50000000;Ogrest;3;400;400;400;400;1300060
5306;Rushu;230;60000000;Rushu;3;666;666;666;666;1108305306
3433;Nogord l'Ezarélé;200;595000;Nogord l'Ezarélé;3;350;350;350;350;143603433
4770;Ombrage;200;318750;Ombrage;3;666;666;666;666;143604770
3870;Foul Moon;185;15000;Foul Moon;3;659;578;496;578;143603870
3582;Serre d'Acier;170;80000;Serre d'Acier;3;370;370;370;370;143603582
5500;Tal Kasha;155;100000;Tal Kasha;3;600;600;600;600;109605000
2430;Dragon-Cochon;125;22000;Dragon-Cochon;3;322;322;322;322;143602430
1988;Corbeau Noir;110;8000;Corbeau Noir;3;322;322;322;322;101101150
42;Magmog le Boufrog;110;21600;Magmog le Boufrog;3;537;537;537;537;100200042
1987;Milkar le Meulou;95;12750;Milkar le Meulou;3;457;457;457;457;105501794
1986;Excarnus;80;8000;Excarnus;3;325;325;325;325;138901819
5755;Golem des Marécages Bwork;245;250000;Île des brumes;2;630;630;630;630;1114705663
5753;Golem du Cosmo-Canyon;245;250000;Île des brumes;2;630;630;630;630;1114705663
5756;Golem de la Désolation des Grouilleux;245;250000;Île des brumes;2;630;630;630;630;1114705663
5663;Golem de la Forêt Primaire;245;250000;Île des brumes;2;630;630;630;630;1114705663
5754;Golem de la Savane;245;250000;Île des brumes;2;630;630;630;630;1114705663
5378;Protopoulpe;238;191546;Équipage du poulpe;2;625;625;625;625;1109805378
5390;Protogolem;238;165596;Marteaux-Aigris;2;560;560;560;560;1110205390
5384;Protosquelette;238;175347;Morts-brûlés;2;595;595;595;595;1110005384
5100;Tanuki-Chan;200;83384;Extra Pandalousie;2;713;713;713;713;1103305100
5102;Tanukouï-San;200;250000;Extra Pandalousie;2;613;613;613;613;1103305102
5101;Yokaï Firefoux;200;353384;Extra Pandalousie;2;413;413;413;413;1103305101
3972;Croc-Môssieur, le Dandy;193;20000;Extra Île de Moon;2;500;500;500;500;181103972
3868;Gengas Kin;193;20350;Extra Île de Moon;2;439;557;321;439;179403868
3867;Hem Kokora;193;5193;Extra Île de Moon;2;504;504;442;567;179403867
5015;Capuchino l'énergisant;178;29530;Encapuchonnés;2;380;420;340;300;129401464
5012;Rictus l'expressif;178;48696;Riktus Elite;2;380;318;380;481;120501170
4357;Rib'Eri le Routourneur;178;32000;Xélots;2;375;375;375;375;169304357
5017;Rouflaket le Gentleman;178;40000;Roublards;2;468;372;372;278;197905017
4304;Soeur Soudeuse la Fondue;178;44869;Sbires de Kali;2;414;179;296;296;187204304
4853;Papapoutre le Rigide;178;40000;Patapoutres;2;120;120;120;120;134602127
4358;L'Oiseau du Temps;178;30000;Hulors;2;399;525;462;462;169204358
5480;Archéobombyx l'épicé;163;25415;Sabléoptères;2;375;415;430;395;1111905480
4782;Blopale le scintillant;163;27240;Blops Musicaux;2;250;250;250;250;137201736
3098;Disciple de Raval;163;23034;Srambad;2;467;304;386;386;163403098
5039;Zarbi l'inhabituel;163;30000;Plantalas;2;380;380;380;380;1102905039
