Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Œil de taupe;;Retire 4 de Portée aux ennemis en zone. Leurs sorts pourront toucher des cibles moins lointaines. Cependant, si ce sort est lancé sur le Crâ, lui et ses alliés à son contact gagnent 4 Portée. Lancé sur le Crâ : - 4 Portée (2 tours) Sinon : - -4 Portée (2 tours);;;
Roulade;;Roule jusqu'à la case ciblée. Le Crâ peut ainsi échapper à un combattant qui le taclait, ou bien se mettre en position privilégiée pour infliger des dommages. Se téléporte sur la case 1 PM;;;
Archer futé;;Chaque Pointe affûtée que le Crâ gagne lui donne une Flèche lumineuse. En revanche, le sort Flèche lumineuse passe à portée non modifiable. Pointe affûtée donne Flèche lumineuse (+1 Niv.) Flèche lumineuse - La Portée du sort devient non-modifiable - Ne déclenche pas Pointe affûtée;6945;4801;
Éclaireur intouchable;;Le Crâ gagne de la Volonté. En échange, son Esquive est réduite à 0 en début de combat. 20 Volonté En début de combat : - L'esquive du Crâ est réduite à 0;6956;588;{"WILLPOWER":20}
Perforation Crâ;;Lorsque le Crâ a sa Pointe affûtée, son prochain sort monocible transperce sa cible et fait des dommages en ligne. En échange, sa Pointe affûtée ne lui donne plus de dommages infligés. Lors de la consommation de la Pointe affûtée : - Si le sort lancé est élémentaire, monocible et en ligne : - Si le sort touche une cible, la zone devient de taille 3 Pointe affûtée ne donne plus de Dommages infligés;6963;619;
Pointe protectrice;;Si le Crâ termine son tour avec de l'Affûtage, celui-ci se consomme pour octroyer au Crâ des résistances élémentaires pour le tour à venir. En fin de tour, si le Crâ a Affûtage : - 1 Résistance élémentaire par niveau - Consomme Affûtage;7795;6997;
L'art des Balises;;Les Balises peuvent se lancer sans ligne de vue, mais coûtent 1 PW de plus. Le coût des Balises passe à 2 PA 1 PW - 1 PW en cas de Balise affûtée Les sorts pour invoquer des Balises deviennent sans Ligne de vue;6961;3362;
Distance focale;;Le Crâ peut lancer ses sorts élémentaires 2 cases plus loin naturellement. En échange, la portée minimale de ses sorts élémentaires augmente aussi de 2. +2 Portée min. et max. sur les sorts élémentaires;6949;7330;
Parti pris;;Lorsqu'il obtient sa Pointe affûtée, le Crâ convertit des PM en PA s'il est en Tir précis. S'il n'a pas lancé Tir précis, il convertit des PA en PM à la place. Une fois par tour, à l'application de Pointe affûtée : Tir précis : - 2 PA -2 PM Sinon : -2 PA - 2 PM;6948;5072;
Balisage rapproché;;Le Crâ peut retirer ses Balises gratuitement. Cependant, la portée d'invocation des Balises ne peut plus être modifiée. Débalisage devient gratuit La portée des sorts qui invoquent les Balises n'est plus modifiable;6958;610;
Tireur solitaire;;Le Crâ peut gagner des bonus lorsqu'Insaissable atteint le niveau 40 ou plus. Cependant, l'état nécessite aussi de ne pas avoir d'alliés autour de soi. Lorsque Insaisissable est niveau 40 ou plus : - 1 PM - 2 Portée Le Crâ ne déclenche plus Insaisissable quand il a un allié autour de lui;6959;5073;
La voie de l'arc;;Lorsque le Crâ effectue des retraits de PM, il génère de la Précision et d'Affûtage. Il n'en gagne plus en fin de tour en étant Insaisissable. Les retraits de PM réussis appliquent, par PM retiré : - Affûtage et Précision (10 Niveaux) Insaisissable n'applique plus d'Affûtage ni de Précision;6951;5077;
Paradoxe du Crâ;;Pour pouvoir avoir le bonus d'Insaisissable, le Crâ doit avoir au moins un ennemi à 3 cases ou moins. Insaisissable : - La zone se déclenche si un ennemi est à 3 cases ou moins du Crâ;6955;2076;
Étude balistique;;Les dégâts de redirection des Balises ne sont plus appliqués sur les alliés : en outre, les alliés touchés par une Balise gagnent 1 Portée. En échange, le Crâ ne peut plus invoquer qu'une Balise de chaque élément. -100 % aux dommages redirigés par les Balises sur les alliés - Les Balises donnent 1 Portée (1 tour, 1/tour) aux alliés touchés Le Crâ ne peut avoir qu'une Balise par élément sur le terrain;6953;620;
Débalisage massif;;Le sort Débalisage détruit maintenant toutes les balises du Crâ pour générer de l'Affûtage et de la Précision. Débalisage passe à 0 Portée et 2 tours de relance L'effet du sort devient : - Détruit toutes les Balises du Crâ Par Balise détruite : - Affûtage (Niv.30) - Précision (Niv.30);6952;615;
Instinct du chasseur;;Les sorts monocibles du Crâ ont des effets différents sur ses Balises. En revanche, ses Balises doivent être davantage espacées lorsqu'elles sont posées. Les sorts monocible déclenchent les Balises d'une nouvelle manière (par PA du sort) -10 % Coup critique en anneau de taille 2-3 Pousse les alignés à la Balise de 1 case (3 cases) -5 % des PV max du Crâ en Retrait d'armure en carré La distance entre chaque balise est augmentée à 5 cases au lieu de 3;6957;6930;
Esprit affûté;;Le Crâ gagne de l'Affûtage en lançant son Tir précis. En échange, il ne peut plus monter son niveau de Précision au-delà de 200. En rentrant en Tir précis : - Affûtage (Niv.50) Le niveau max. de Précision passe à 200;6960;852;
Précision vorace;;Lorsque le Crâ est sous Tir précis, ses sorts consommant de la Précision volent 25 % des dommages infligés. En échange, Tir précis ne peut se lancer qu'une fois par tour. En étant sous Tir précis : - 25 % vie volée par les sorts qui consomment de la Précision Tir précis passe à 1 utilisation par tour;6950;5122;
Balises discrètes;;Les Balises du Crâ ne bloquent plus la ligne de vue. En lançant débalisage, les cibles alignées à la balise sont repoussées. Les Balises deviennent transparentes Débalisage : - Pousse de 2 cases les combattants alignés à 5 cases ou moins de la Balise;6947;615;
Éclaireur spécialisé;;Insaisissable soigne des PV manquants au Crâ. Cependant, la zone nécessaire pour être Insaisissable devient plus grande. Insaisissable soigne 25 % des PV manquants Augmente la taille de la zone d'Insaisissable de 1 - (Réduit de 1 si Paradoxe du Crâ est équipé);6946;1420;
Tir divergent;;Lorsque la Pointe affûtée est consommée, le lanceur puis la cible du sort subissent un retrait de PM. En consommant Pointe affûtée, une fois par cible et par tour : - -2 PM - -2 PM;6962;586;
