Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Tarot félin;;Lorsque l'Ecaflip cible un combattant avec une carte de Tarot, il échange de position avec. En revanche, il devient stabilisé jusqu'à la fin de son tour. En lançant une carte de tarot sur un autre combattant : - Echange de position (6 cases max) - Stabilisé jusqu'à la fin du tour;7955;7928;
Sept fétiche;;Toutes les six cartes de tarot jouées avec leur effet normal (pas doublé par la Veine), l'Ecaflip maximise sa Veine et vide sa pioche. Quand 6 cartes sont jouées alors que la Veine n'était pas à 100 : - 100 Veine - La pioche est vidée;7999;866;
Veine des cartes;;Ce passif donne un contrôle sur la Veine en fonction des cartes encore dans la main de l'Ecaflip à la fin de son tour. En fin de tour : - 15 Veine par carte blanche en main -15 Veine par carte noire en main;8001;2062;
Atouts périodiques;;Ce passif permet d'exercer un certain contrôle sur les cartes. En tour impair, l'Ecaflip ne peut piocher et jouer que des cartes de tarot impaires, tandis qu'en tour pair, il ne peut piocher et jouer que des cartes de tarot paires. Tour impair : - Ne pioche et ne peut jouer que des cartes impaires Tour pair : - Ne pioche et ne peut jouer que des cartes paires;7961;5461;
Black Jack;;Les cartes dans la main de l'Ecaflip sont additionnées au début du tour. Si leur valeur cumulée est inférieure ou égale à 20, alors l'Ecaflip gagne de l'Armure. Mais si leur valeur dépasse 20, l'Ecaflip reçoit un malus d'Armure finale reçue pendant 1 tour. En début de tour, additionne les valeurs des cartes dans la main de l'Ecaflip Si la somme est entre 1 et 20 : - 10 % des PV max en Armure Sinon : - 5 niveaux de Friable;7960;5101;
Félin suprême;;Ce passif modifie le sort Bond du félin. Il devient lançable sans ligne de vue, mais coûte plus cher. Bond du félin n'a plus de ligne de vue Bond du félin coûte 1 PA supplémentaire;7959;2059;
Dés généreux;;Ce passif transforme la Bonne étoile, appliquée lorsque l'Ecaflip dépasse 100 Coup critique. Bonne étoile, au lieu de donner des dommages, donne désormais des soins. Bonne étoile donne désormais : - 0.5 % Soins réalisés;7958;7935;
Pile, je gagne;;Ce passif renforce le talent de l'Ecaflip à survivre et résister. Il se régénère et gagne des bonus de résistance lorsqu'il lance une carte avec 100 de Veine. En revanche, l'Ecaflip perd toute son esquive. Quand une carte est jouée avec 100 de Veine : - Soin : 20 % des PV max - 50 Résistance (1 tour) - 100 % du niveau en Tacle (1 tour) Fixe l'Esquive à 0 en début de combat;7957;5251;
La fortune sourit aux audacieux;;Ce passif permet à l'Ecaflip de régénérer des Points de Wakfu lorsqu'il est gravement blessé. Quand l'Ecaflip passe sous 50 % de ses PV : - 50 Veine et 2 PW - 100 % Incurable (1 tour);7956;5466;
Impact félin;;Ce passif change la génération de nombre d'utilisations de Bond du félin. Finir son tour au contact d'un ennemi donne deux utilisations supplémentaires au sort. En fin de tour, si un ennemi est au contact : - +2 utilisations de Bond du félin - Invocations exclues Les utilisations de Bond du félin n'augmentent plus par tour qui passe sans l'utiliser;5249;5249;
