Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Résilience;;L'Eliotrope ne regagne plus de PW en obtenant le Don céleste. À la place, il gagne de l'Armure pour absorber les coups adverses. En obtenant Don Céleste : - Gain d'Armure : 10 % des PV max - Ne regagne plus de PW;4690;4690;
Quiétude;;L'Eliotrope regagne des PA au lancer du sort Exaltation au lieu du bonus de Dommages infligés. Après avoir lancé le sort Exaltation : - 3 PA Exaltation ne donne plus de Dommages infligés au lanceur;7204;880;
Méditation;;L'Eliotrope ne gagne plus de dommages en commençant son tour en Serein mais des PM et des résistances élémentaires. Le Don céleste se consomme également en cas de soin réalisés, en augmentant ce dernier. En commençant son tour en Serein : - 1 PM max et 50 Résistance élémentaire (2 tours) - Ne gagne plus de dommages infligés Le Don Céleste donne également 20 % Soins réalisés;7720;5131;
Concentration;;Portail céleste gagne en utilité et peut se lancer plusieurs fois par tour. En contrepartie, il est plus difficile à lancer. Portail céleste : - Passe à 4 Portée fixe - Coûte 1 PW de moins - Sur cellule libre, replace le portail le plus proche - Passe à 2 utilisations par tour;7210;7343;
Cicatrisation;;L'Eliotrope est soigné d'une partie de ses PV manquants en finissant son tour en Serein en échange d'un PW. S'il se trouve sur un portail, le soin est plus élevé. Si l'Eliotrope finit son tour en Serein : - 15 % des PV manquants soignés (15 % supplémentaires si est sur un portail) - -1 PW;7209;5454;
Épée du début;;L'Eliotrope peut obtenir Don céleste en lançant des sorts sur des cibles au contact. En revanche, la portée maximale de tous ses sorts est réduite. -1 Portée max sur tous les sorts Lancer un sort sur une cible au contact augmente Portail céleste - Compteur;7208;7208;
Bouclier de la fin;;L'Eliotrope doit poser ses portails au contact d'un combattant. En échange, les alliés qui empruntent ses portails sont soignés et gagneront des PA. Ce passif s'applique à tous les portails de l'équipe. Quand utilise un Portail : - Soin : 10 % des PV max de la cible (1/tour) - 2 PA Les portails ne peuvent être posés qu'au contact d'un combattant;7207;7207;
Porta(i)l;;L'Eliotrope ne possède plus que deux portails, mais il peut les déplacer plus facilement et à plus grande distance. En plus, ses dommages et ses soins réalisés à travers les portails sont augmentés. Le sort Portail possède 2 Portée en plus Les dommages et les soins réalisés à travers les portails sont augmentés de 15 % supplémentaires Les Portail sont limités à 2 S'il y a déjà 2 portails sur le terrain : Portail déplace le portail le plus proche sur la cellule;7206;7206;
Espace-temps;;Au lieu d'être infinis, les portails durent 2 tours. Ce passif s'applique à tous les portails de l'équipe. Un Portail disparait au bout de 2 tours;7205;4688;
Disciple du portail;;Ce passif permet à l'Eliotrope de créer un portail temporaire sous sa position lorsqu'il lance le sort Exaltation. Ce portail peut dépasser la limite de 4, mais il ne peut pas être déplacé et il disparaît en fin de tour. En contrepartie, l'Eliotrope ne pourra plus utiliser le sort Portail jusqu'à la fin de son tour. Après avoir lancé le sort Exaltation : - Un portail est créé sous l'Eliotrope - Ce portail ne peut pas être déplacé et disparaît en fin de tour - Ce portail peut dépasser la limite de 4 - Ne peut plus utiliser le sort Portail pour le tour en cours;5056;5348;
