Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Transgression;;Ce passif augmente le potentiel de résistance de l'Eniripsa sous Contre-nature. En revanche, dans ce mode, sa portée diminue. Quand Contre-nature est actif : - 75 Résistance élémentaire -2 Portée max sur les sorts élémentaires;7992;5245;
Ambivalence;;Contre-nature peut désormais être lancé sur une autre cible que l'Eniripsa pour déclencher différents effets. Le sort Contre-nature possède 1 à 3 Portée Lancé sur un allié : - -30 % Résistance soin (1 tour) - 30 % Soins réalisés (1 tour) Lancé sur un ennemi : - subit 20 % des soins monocibles réalisés par;7998;525;
Paradoxe Contre-naturel;;Les soins réalisés en mode normal augmentent 2 fois plus le niveau de Propagateur, en revanche, les soins réalisés sous Contre-nature n'augmentent plus le niveau de Propagateur. Propagateur - Génération doublée en mode normal - Génération bloquée sous Contre-nature;7997;5055;
Tous pour moi;;Les PV de l'Eniripsa augmentent substantiellement. En revanche, le sort Lapino ne peut être lancé qu'au contact. Bonus de PV pour l'Eniripsa : - 800 % de son niveau (+0) Lapino passe à 1 Portée max (non modifiable);5453;5453;
Marque anbareul;;Répulsion déclenche immédiatement les marques, mais ne pousse plus les cibles marquées. Répulsion - Déclenche les marques - Ne pousse plus les cibles marquées;7996;5101;
Secret de fabrication;;Propagateur applique désormais son effet sur la durée : il dure deux tours. Propagateur n'inflige plus de dommages à l'activation - Inflige ses dommages en fin de tour de la cible - Pendant 2 tours - Dommages réduits de 20 %;7995;877;
Apprenti alchimiste;;Lorsque Propagateur est déclenché, l'Eniripsa vole 1 PM à la cible. En revanche, sa génération de Propagateur est divisée par deux. À chaque fois que Propagateur est déclenché : - Vole -1 PM à la cible La génération de Propagateur est divisée par 2;7994;2040;
Elixir de vent;;Ce passif augmente l'esquive de l'Eniripsa lorsqu'il accumule du Propagateur. En outre, consommer Propagateur sur une cible lui retire du Tacle. En revanche, le tacle de l'Eniripsa tombe à 0. Pour chaque niveau de Propagateur : - 3 Esquive En consommant Propagateur, par niveau : - -3 Tacle (1 tour) sur la cible Le Tacle de l'Eniripsa passe à 0 en début de combat;7993;959;
Délai;;Ce passif délaie la moitié des soins que l'Eniripsa réalise sur ses cibles. Les soins directs réalisés sont divisés par deux Chaque soin réalisé applique Délai - Soin en début de tour;5451;5451;
Médecin sans barrière;;Propagateur change de fonctionnement : Réaliser des soins ne l'augmente plus, mais infliger des dommages oui. Propagateur est consommé sur un soin monocible et améliore ce soin. Propagateur - N'augmente plus après un soin - Augmente après des dommages infligés Lors du prochain soin monocible : - Soin en fonction du niveau de Propagateur;628;628;
Super Lapino II;;L'Eniripsa invoque désormais immédiatement le Super Lapino, au lieu de devoir attendre un tour. En revanche, le sort Lapino possède deux tours de relance et le Super Lapino meurt à la fin de son tour. Lapino - Possède 2 tours de relance - Invoque directement un Super Lapino - Le Super Lapino meurt en fin de tour;7991;7344;
Soin unique;;Chaque tour, le premier sort de soin monocible lancé par l'Eniripsa est plus puissant. En revanche, après ce soin amélioré, les prochains soins de l'Eniripsa pendant son tour sont réduits. Chaque tour, sur le premier sort de soin monocible : - Soin : 26 Après avoir effectué un soin monocible : - Les soins sont réduits de 30 % (1 tour);1415;1415;
Paroxysme vital;;Ce passif augmente les soins reçus de l'Eniripsa, mais modifie le seuil d'activation des capacités nécessitant d'avoir une certaine quantité de PV. 30 % Soins reçus Les conditions de PV sur l'Eniripsa deviennent : - Les PV doivent être = à 100 %;1536;646;
Présence;;En fin de tour, si l'Eniripsa est isolé, il gagne en mobilité pour le prochain tour, mais perd son Propagateur. Si, en revanche, il y a un ou plusieurs combattant(s) à proximité de l'Eniripsa, il gagne en Propagateur, mais perd de la Portée au prochain tour. En fin de tour, si l'Eniripsa est isolé (pas d'allié ni ennemi à 3 cases ou moins) : - 2 PM max (1 tour) - Propagateur est retiré S'il n'est pas isolé : - 20 % du niveau en Propagateur (+13) -2 Portée (1 tour);7990;7330;
Radiance;;Lorsque l'Eniripsa termine son tour, il consomme son Propagateur pour se soigner lui ainsi que ses alliés à proximité. En fin de tour, par 2 niveaux de Propagateur : - Soin : 1 autour de l'Eniripsa - Propagateur est retiré;7987;7987;
Vampiripsa;;Ce passif modifie la façon dont Propagateur fonctionne. Les dommages infligés sont moins élevés, cependant, l'Eniripsa absorbe la moitié des dommages infligés par le biais de Propagateur. Propagateur : -25 % Dommages infligés - vole 50 % des dommages de Propagateur;5463;5463;
Marquage précis;;Une seule marque d'un même type peut être active à la fois. Lorsque cette marque est consommée ou déclenchée, l'Eniripsa gagne 10 % de son niveau en Propagateur. Une seule marque de chaque type peut être active simultanément Lorsqu'une marque est déclenchée : - Propagateur +10 % du niveau (6);644;567;
Ponction;;Lorsque l'Eniripsa possède une quantité de PV supérieure ou égale à 80 % de son maximum de PV, ses soins réalisés augmentent. Cependant, il subit 10 % des soins qu'il réalise. Si l'Eniripsa possède >= 80 % PV : - 30 % Soins réalisés - L'Eniripsa subit 10 % des soins réalisés en dommages;5454;5454;
Serial marqueur;;Chaque marque posée sur une cible soigne les combattants autour de cette cible. En contrepartie, les sorts feu deviennent plus complexes à lancer. À chaque marque posée : - Soin : 7 en de taille 2 autour de la cible Les sorts feu voient leur Portée modifiée : - +1 Portée minimale - Portée non modifiable;1537;1537;
Nature morte;;Lorsque le Lapino meurt, un glyphe apparaît sur sa position. En contrepartie, le Lapino coûte plus cher. Lapino - Coûte 3 PA Lorsque le Lapino meurt : - Invoque un glyphe Nature morte - Bonus de portée sur les combattants;5455;1420;
