Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Marchepied;;En Phorzerker, la première esquive du tour est toujours garantie à 100 %. En contrepartie, l'Esquive de l'Enutrof est réduite à 0 au début du combat. En Phorzerker : - Jeu de jambes - Chaque tour, la première esquive est garantie à 100 % En début de combat, l'Esquive est réduite à 0;8273;7596;
Tunnelier;;Le Phorreur a moins de PM, mais lorsqu'il excave un Gisement, il se téléporte dessus. Le Phorreur se téléporte sur les qu'il excave Le Phorreur a un malus de -3 PM max;8279;7184;
Optimisation focale;;Le sort Excavation possède plus de portée maximale, mais aussi plus de portée minimale, empêchant l'Enutrof de manipuler des Gisements à très courte portée. Excavation : +2 Portée min et max;8278;1420;
Protection minérale;;Si l'Enutrof finit son tour sur un Gisement, il le détruit pour gagner des résistances élémentaires pendant 1 tour. Le Gisement détruit ne pourra plus être excavé pendant 1 tour complet. En fin de tour, si l'Enutrof est sur un : - 100 Résistance Élémentaire (1 tour) - Le est détruit - Le ne peut plus être excavé (1 tour);8277;2009;
Assurance tous risques;;L'Enutrof consomme ses Trésors en fin de tour pour gagner de l'Armure. En fin de tour : - Armure : 7 % des PV max par Trésors - Trésors est consommé;8276;845;
La binocle;;Lorsque l'Enutrof est en Phorzerker, Trésors ne lui donne plus de PW en fin de tour, mais ses sorts élémentaires possèdent un bonus de Portée. En Phorzerker : - +2 Portée max sur les sorts élémentaires - Trésors ne donne plus de PW en fin de tour;8275;7330;
Marchand d'âge;;En Phorzerker les sorts neutres de l'Enutrof sont aussi limités en Portée mais coûtent 1 PM en moins. En Phorzerker : - Les sorts neutres coûtent 1 PM de moins - Les sorts neutres sont limités à 3 Portée maximum;8274;5126;
Phorzertanker;;L'Enutrof échange les bonus offensifs de la forme Phorzerker contre des bonus défensifs. Phorzerker : - En se déplaçant, gagne Préparation vitale au lieu de Préparation Bestialité : - Donne 30 Résistance élémentaire par niveau - Ne donne plus de Dommages infligés;5075;5075;
Échange asynchrone;;L'Enutrof copie sa maîtrise distance en maîtrise mêlée lorsqu'il passe en Phorzerker. Ses sorts élémentaires en Phorzerker perdent 2 Portée maximum. En Phorzerker : - La Maîtrise mêlée est basée sur la Maîtrise distance -2 Portée max sur les sorts élémentaires;8272;4300;
Cupidité;;L'Enutrof ne peut plus ramasser de Bourse en marchant dessus, mais il les récupère directement grâce au sort Excavation. Excavation permet de ramasser les Bourse Ne peut plus ramasser les Bourse en marchant dessus;5071;5071;
Intérêts créditeurs;;Avec ce passif, l'Enutrof récupère des Trésors grâce aux cibles qu'il a fauchées. En revanche il ne peut plus les endetter aussi souvent. Fauché : - Les cibles donnent 1 Trésors à l'Enutrof au début de leur tour - L'état dure 4 tours au lieu de 2;6326;6326;
Art des marcheurs;;L'Enutrof utilise ses PM pour déplacer ses Gisements à la place de ses PA. Excavation coûte 1 PM au lieu de 1 PA;2028;7093;
Placements boursiers;;Les Bourses appliquent leurs effets 1 tour après les avoir ramassées. Elles peuvent ainsi se cumuler jusqu'à 6 niveaux. Les effets des Bourse sont délayés d'1 tour : Bourse : Placements boursiers +1 Niv. Big Bourse : Placements boursiers +2 Niv. Cumulable, niveau 6 max;5059;5059;
Bénédiction Enutrof;;L'Enutrof gagne 1 Trésors en début de tour, mais il ne peut en cumuler plus que 2 maximum au lieu de 3. En début de tour : - Trésors (+1 Niv.) L'état Trésors est limité au niveau 2 maximum;2039;2039;
Côté en bourse;;Les Bourses invoquées par l'Enutrof sont directement des Big bourses. En revanche, ces dernières peuvent être ramassées par les ennemis. Les Bourse sont directement des Big Bourse Les peuvent ramasser les Big Bourse;5076;5076;
Géologie avancée;;La portée du sort Excavation n'est plus modifiable. En échange, lorsqu'il déplace un Gisement, l'Enutrof regagne un PA s'il est en forme normale et se soigne s'il est en Phorzeker. En déplaçant un Gisement (3x max par tour) : - Regagne 1PA en forme normale - Soin : 5 % des PV max en Phorzerker La portée du sort Excavation n'est plus modifiable;2009;2028;
Héritage;;Le Phorreur gagne des PA et des PM en fonction du niveau de Trésors que possède l'Enutrof en fin de tour. En contrepartie, le Phorreur meurt s'il termine son tour en mêlée d'un ennemi. En fin de tour, par niveau de Trésors : - Phorreur : gagne 1 PA et 1 PM Le Phorreur meurt s'il termine son tour en mêlée d'un ennemi;8280;727;
