Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Trêve;;Pendant un tour, toutes les entités présentes en combat sont plus résistantes, les alliés comme les ennemis. Ce sort permet de temporiser en cas de situation difficile. 100 Résistance Élémentaire sur toutes les entités ( ) (1 tour);;;
Pacification;;Ce sort fixe les dommages infligés de la cible à 30 %. Cela peut augmenter ses capacités offensives ou bien les diminuer, selon la situation. Pacifié (1 tour) - Temps de relance sur la cible : 4 tours Ce sort ne peut pas être utilisé avec Immunité;;;
Peau rocheuse;;Le Féca limite l'importance de ses capacités de support et décide de partir au front prendre des coups. 30 % Parade Paix intérieure : - N'augmente plus en cas de bouclier déclenché - +2 niveaux quand subit des dommages directs;6997;6997;{"BLOCK_PERCENTAGE":30}
Compréhension du Wakfu;;Ce passif permet d'améliorer les Armures que le Féca donne à ses alliés ou à lui-même, mais à chaque fois qu'il fait cela, il perd un PW. Tant que le Féca a au moins 1 PW : - 100 % Armure générée - perd 1 PW quand il donne de l'Armure à une cible;7004;7004;{"GIVEN_ARMOR_PERCENTAGE":100,"RECEIVED_ARMOR_PERCENTAGE":100}
Carapace d’épines;;Le Féca transforme à chaque tour son moyen de protection fétiche en dommages infligés. Si le Féca possède de l’Armure en début de tour, l'Armure est convertie en % Dommages infligés - 1% des PV max = 1% Dommages infligés (2 tours) - Max Armure convertie : 20% des PV max - L'Armure convertie est perdue;7003;685;
Boucliers élémentaires;;Les boucliers Feu aident les alliés à infliger plus de dommages. Les boucliers Terre augmentent leur mobilité. Les boucliers Eau augmentent leur portée. Chaque bonus n'est pas cumulable avec lui-même et dure 1 tour à partir de l'application du bouclier. Les boucliers ne peuvent plus être posés que sur les alliés Bouclier Feu - Nouvel effet : 15 % Dommages infligés Bouclier Eau - Nouvel effet : 1 Portée Bouclier Terre - Nouvel effet : 1 PM;7002;7002;
Expérience du terrain;;Le Féca améliore sa résistance aux attaques reçues au détriment de ses capacités de protection de ses alliés. Utile pour les Fécas solitaires ! Quand le Féca subit des dommages directs : - 10 % Armure Reçue (1 tour, max 50) -7 % Armure donnée (1 tour, max 50);7001;2272;
Berger;;Le Féca renforce l'efficacité d'un seul bouclier, en dévouant toute son attention dessus. Un vrai guide n'a pas besoin de beaucoup de consignes pour montrer la voie. Le Féca peut appliquer un seul Bouclier par tour, son coût en PA est regagné (max 3 PA regagnés);7000;7000;
Glyphes persistants;;Les glyphes durent désormais deux tours, mais ils ne peuvent plus être fusionnés. Ce passif est utile lors de situations fixes, où lorsque les dommages des glyphes ne sont pas une priorité. Les glyphes durent deux tours Les glyphes ne peuvent plus être fusionnés;6999;6999;
Oeil pour oeil;;Le Féca renforce son potentiel offensif et protecteur lorsque la situation l'exige et que ses alliés sont en danger. Quand le Féca ou un de ses alliés perd le reste de son Armure : - 10 % Dommages infligés (1 tour) - 20 % Armure donnée (1 tour);6998;2324;
Connaissance de la carte;;Ce passif rend les glyphes beaucoup moins coûteux à utiliser, en bridant leurs dommages. Modifie la mécanique de Glyphe - Les glyphes coûtent 2 PW de moins -50 % Dommages indirects infligés;6994;5104;
Armure de combat;;Transforme les dommages du Féca en protections pour les alliés. Le Féca lui-même reçoit moins d'Armure. -100 % Armure reçue La moitié des dommages infligés sur les alliés sont transformés en Armure;6996;2374;
La meilleure défense est l’attaque;;Ce passif récompense le Féca s'il attaque ses cibles à l'aide de dommages classiques. Les dommages directs monocible appliquent Armudiction (+2 niveaux par PA du sort) 10 % Dommages infligés;6995;5245;
Glyphe augmenté;;Les glyphes ont désormais une taille "cercle de taille 2", mais coûtent 1 PW de plus au Féca pour être invoqués. Augmente la taille des Glyphe de 1 Les glyphes coûtent 1 PW supplémentaire pour être posés;6988;5244;
Marché pacifiste;;Améliore la capacité du Féca à donner des Armures au détriment de ses chances d'effectuer des Parades. Convertit la Parade en % Armure donnée - Taux de 1 pour 1 - La Parade convertie est perdue - La Parade doit être <= à 100;6993;866;
Qui veut la paix prépare la guerre;;Bride la capacité du Féca à donner de l'Armure à ses alliés, tout en améliorant ses dommages, afin d'adopter un rôle purement offensif. En début de combat : - -100 % Armure donnée - 25 % Dommages infligés;6992;2295;
Maître des boucliers;;Le Féca parvient à appliquer les effets de ses boucliers instantanément. En revanche, il doit attendre afin de les utiliser à nouveau. Les boucliers se déclenchent immédiatement - Goutte restaure la dernière perte de PA/PM sur la cible - Lame de fond se base sur la dernière attaque reçue (feu sinon) Le temps de relance par cible est augmenté de 2 tours;6991;6691;
Un pour tous;;Le Féca protège ses alliés au détriment de sa propre protection. Utile dans les configurations de jeu en équipe où le Féca est rarement touché. Lorsqu'un bouclier est appliqué sur un allié : - 50 Résistance Elémentaire (1 tour) - -25 Résistance Elémentaire (1 tour) - Une fois par tour par allié;6990;2269;
Ligne;;La Portée des sorts Feu n'est pas modifiable à l'origine. Ce passif permet de retirer cette contrainte, mais ajoute une contrepartie de lancer en ligne. Les sorts de la branche feu : - Passent à portée modifiable - Ne se lancent plus qu'en ligne 1 Portée;6989;6989;{"RANGE":1}
Protecteur du troupeau;;Ce passif renforce le côté tank du Féca, et le récompense en lui offrant une régénération de ses PV s'il accomplit son rôle. Bonus de PV pour le Féca : - 300 % de son niveau (+0) -20 % Dommages infligés En début de tour de table, par allié (joueur) n'ayant pas subi de dommages au tour précédent : - Soin : 4 % des PV manquants de la cible;7005;7005;
