Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Amplification;;Le Iop augmente ses dommages et ceux des alliés autour de lui. Ce sort augmente également les Points de Mouvement (PM) du Iop Les effets sont répercutés autour de l'Etendard. En cercle de taille 2 : - 15 % Dommages infligés (2 tours) Par allié touché : - 1 PM Ce sort est répliqué autour de l'Étendard de bravoure;;;
Virilité;;Le Iop possède plus de points de vie, mais en contrepartie il ne peut plus utiliser le sort Bond sans ligne de vue (derrière les obstacles). Boost de PV pour le Iop : - 300 % de son niveau (735) Bond ne peut plus se lancer sans ligne de vue;4795;525;
Porte-étendard;;Le Iop peut utiliser le sort Etendard de bravoure sur lui-même pour déployer l'aura de bravoure autour de lui en fin de tour. Ce faisant, il devient stabilisé et la zone de l'aura est plus grande. En contrepartie, l'Etendard de bravoure est plus fragile. Le sort Étendard de bravoure peut se lancer sur soi-même Si le sort est lancé sur le Iop : - En fin de tour, passe en mode Porte-étendard (1 tour) - Stabilisé (1 tour) - Déploie l'Aura de bravoure en cercle de taille 2 L'Etendard possède 50 % PV en moins;8422;5131;
Fortification;;Si le Iop est sur son Etendard, chaque Parade effectuée lui régénère une partie de ses Points de vie manquants. En outre, s'il finit sur son Etendard, la moitié de ses Coup critique est convertie en Parade jusqu'à la fin du tour suivant. En fin de tour, si le Iop est sur son Etendard : - 50 % des Coup critiques sont convertis en Parade (1 tour) En étant sur l'Etendard : - Chaque Parade régénère 5 % des PV manquants;8419;5454;
Le Iop de Wazemmes;;Les dommages que le Iop effectue jusqu'à 3 cases de distance sont considérés comme des dommages de mêlée. En revanche, il reçoit moins d'Armure. Les sorts du Iop infligent des Dommages de mêlée de 1 à 3 Portée (au lieu de 1 à 2 Portée) -20 % Armure reçue;8420;7111;
Frappe et court;;Le Iop regagne des PM instantanément après avoir utilisé son Courroux. Par contre, le Courroux est déclenché seulement s'il est niveau 2 minimum. En consommant Courroux : - 1 PM par niveau de Courroux Courroux ne peut être consommé qu'à partir du niveau 2;8416;5352;
Avant-poste;;Le Iop peut utiliser le sort Etendard de bravoure sans ligne de vue (à travers les obstacles). En contrepartie, l'Etendard est détruit si le Iop l'utilise pour bondir dessus. Étendard de bravoure ne possède plus de ligne de vue L'Etendard est détruit si le Iop bondit dessus;8418;7107;
Faille Sismique;;Eventrail retire de l'Esquive et donne du Tacle à la cible ainsi qu'au Iop. Éventrail : - -50 % du niveau du Iop en Esquive (122) à la cible et au Iop (1 tour) - 50 % du niveau du Iop en Tacle (122) à la cible et au Iop (1 tour);5104;5104;
Ralliement;;Lorsque le Iop invoque son Etendard, les cibles à proximité sont attirées vers lui. Le sort Etendard de bravoure perd 1 de portée. En invoquant l'Étendard : - Attire les cibles autour de 2 cases Le sort Étendard de bravoure perd 1 de Portée;5102;7186;
Dissipation;;Les sorts Eventrail et Uppercut peuvent être lancés à une plus grande portée. Par contre, le Iop ne gagne plus de Concentration quand il réalise des combos. Les sorts Éventrail et Uppercut gagnent 2 Portée max Les combos ne donnent plus de Concentration;8417;7105;
Roi de la Colline;;Le Iop gagne un gros montant de Tacle et d'Enflammé s'il finit son tour sur son Etendard. En revanche, il perd tout son Tacle s'il ne finit pas sur son Etendard. En fin de tour, si le Iop est sur son Etendard : - 200 % du niveau en Tacle (1 tour) (490) - 50 % du niveau en Enflammé (122) Sinon : perd 100 % de son Tacle (1 tour);4799;1399;
Bravoure;;Le Iop gagne de l'Armure en fin de tour en fonction de son niveau de puissance. Par contre, le Iop doit forcément terminer à proximité de ses ennemis en fin de tour pour gagner de la Puissance. En fin de tour : - 0.4 % des PV max en Armure par niveau de Puissance Le Iop ne peut pas gagner de Puissance en fin de tour s'il n'a pas d'ennemi à 3 cases;5100;5100;
Conquête;;Quand le Iop tue un ennemi, il place un glyphe conquête sur cette cellule. À la fin du tour, si la cellule est libre, il invoque ou déplace son Étendard sur la conquête. S'il tue un ennemi alors qu'un glyphe conquête est déjà présent, le nouveau glyphe remplace l'ancien. Lorsque le Iop tue un ennemi , un glyphe Conquête est placé sur la cellule En fin de tour, l'Étendard est invoqué ou déplacé sur la Conquête si la cellule est libre;8421;5102;
Précipitation;;Le Iop gagne un Point de mouvement à chaque fois qu'il se déplace à l'aide de l'un de ses sorts, mais il perd également des résistances pour 1 tour. Après s'être déplacé en utilisant un sort : - 1 PM - -25 Résistance élémentaire (1 tour, cumulable);5101;5101;
Démonstration;;Le Iop regagne des PW et de la Préparation en fin de tour en fonction du niveau de l'état Courroux. En contrepartie, il ne regagne plus ses PW instantanément grâce à la Concentration. En fin de tour, par niveau de Courroux : - 1 PW et 15 Préparation Ne regagne plus de PW au niveau 100 de Concentration;8415;5132;
Impétueux;;Lorsque le Iop utilise le sort Bond, son coût en PA est remboursé. Cependant, le Iop perdra autant de PA au début de son prochain tour. En lançant le sort Bond : - Le coût en PA est remboursé - Le coût en PA est perdu au début du tour suivant;8414;7096;
Autorité;;Le Iop devient capable d'attirer ou de repousser ses cibles, en les attaquant de face ou de dos. En infligeant des dommages directs de face et en ligne : - Attire la cible d'une case En infligeant des dommages directs de dos et en ligne : - Pousse la cible d'une case (ne provoque pas de collision);4797;523;
Mini-Bond;;Le sort Bond change : il devient utilisable plusieurs fois par tour et coûte moins cher en PA. Par contre, sa portée est réduite et il coûte 1 PW. Le sort Bond est modifié : - Il coûte 2 PA et 1 PW - Il peut se lancer de 1 à 2 Portée non modifiable - Il peut être utilisé 3 fois par tour;5103;5103;
