Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Meute;;L'Ouignak et ses alliés se renforcent en fonction du nombre d'alliés présents dans la zone d'effet au lancement du sort. Par allié dans la zone : - +5 % Dommages infligés (2 tours, max 25) - +4 Rage et +3 % des PV max en Armure;;;
Epuisement;;L'Ouginak perd de la portée, mais augmente ses dommages indirects. Il s'agit des dommages effectués en dehors de son tour, comme les poisons. 50 % Dommages indirects infligés -2 Portée;6276;6276;
Force sage;;Les retraits de PM sont remplacés par une application de dommages indirects sur la cible. Transforme les retraits de PM - Ne retire plus de PM - Dommage : 0 en début de tour;6282;7185;
Traqueur Canin;;L'Ouginak convertit des dommages en résistance lorsqu'il finit au contact d'une Proie. En terminant son tour au contact de sa Proie : - Traqueur (+10 Niv.) - 2 Résistance élémentaire par niveau de Traqueur au lieu des Dommages infligés (1 tour);7558;7558;
Crocs Futés;;L'Ouginak gagne de la parade afin d'être plus résistant. Lorsqu'il passe en Ougigarou, il convertit sa parade en coup critique pour passer à l'attaque. 20 % Parade Lorsque l'Ouginak passe en Ougigarou : - Convertit sa Parade en Coup critique;6278;6278;{"BLOCK_PERCENTAGE":20}
Terrier;;En fin de tour, l'Ouginak échange de position avec son chienchien. À son tour, le chienchien échange de position avec l'Ouginak à la fin de son tour. En fin de tour de l'Ouginak : - Echange de position avec le Chienchien En fin de tour du Chienchien : - Echange de position avec l'Ouginak;6271;6271;
Art Canin;;L'Ouginak vole une partie des dommages indirects qu'il inflige et les convertit en armure. Il s'agit des dommages effectués en dehors de son tour, comme les poisons. En contrepartie, ses dommages sont réduits. L'Armure obtenue par Art canin est limitée à 50 % des PV max de l'Ouginak par tour. -15 % Dommages indirects Lorsque l'Ouginak inflige des dommages indirects : - 30 % vie volée et convertie en Armure - L'Armure obtenue est limitée à 50 % des PV max par tour;6272;6275;
Flair;;Les Proies de l'Ouginak sont empoisonnées et subissent des dommages tous les tours. En appliquant Proie : - Dommage : 2 (dommages indirects) En début de tour, la Proie subit : - Dommage : 3 Proie coûte 2 PW;6279;6279;
Pistage;;L'Ouginak est plus efficace dans le dos de ses cibles. Pour y parvenir plus facilement, il gagne en mobilité. 20 % Dommages infligés de dos 1 PM Proie ne se lance plus que de dos;6281;5103;{"MOVEMENT_POINT":1}
Énergie Canine;;L'Ouginak possède plus de PW max, mais son bonus de dommages en Ougigarou est réduit. 3 PW max -20 % Dommages infligés en Ougigarou;7556;7343;{"WAKFU_POINT":3}
Fureur;;L'Ouginak possède plus de Rage maximum. En contrepartie, il perd des PW max. +10 Rage maximum -1 PW max;7557;7557;
Pillage;;L'Ouginak sacrifie des dommages dans le but de mieux encaisser les coups. Il gagne des PV et de l'armure reçue. En plus, il gagne de l'armure au début de son tour s'il est au contact d'une proie. -10 % Dommages infligés 30 % Armure reçue 400 % de son niveau en PV En début de tour, si une Proie est au contact : - Armure : 12 % des PV max;6277;6277;{"RECEIVED_ARMOR_PERCENTAGE":30}
Ardeur;;La mobilité de l'Ouginak est réduite, mais il gagne beaucoup de dommages s'il réussit à finir au contact de ses Proies. -1 PM max Si l'Ouginak finit au contact d'une Proie : - 30 % Dommages infligés en mêlée;6275;7328;
Digestion;;L'Ouginak gagne de la Rage et se soigne lorsqu'il inflige des dommages indirects : il s'agit des dommages effectués en dehors de son tour, comme les poisons. En contrepartie, il sacrifie une partie de ses dommages. -15 % Dommages indirects Lorsque l'Ouginak inflige des dommages indirects : - +4 Rage - Soin : 4 % des PV max 5x maximum par tour;7555;6272;
Chasse ouverte;;L'Ouginak obtient de la Rage et des dommages dès qu'il attaque sa Proie, mais sa Rage maximum diminue. -10 Rage maximum Lorsque l'Ouginak attaque sa Proie : - La Rage et Traqueur sont obtenus instantanément;7554;7554;
Acharné;;L'Ouginak gagne de la volonté afin d'entraver ses cibles plus facilement. Il gagne de la Rage à chaque fois qu'il retire des PM. En échange, il perd en dommages infligés. 20 Volonté -10 % Dommages infligés Lorsque l'Ouginak retire un PM à un ennemi : - +4 Rage;7553;7193;{"WILLPOWER":20}
Canin'Os;;L'Ouginak gagne du tacle. Lorsqu'il passe en Ougigarou, son tacle est converti en esquive. 300 % du niveau en Tacle Lorsque l'Ouginak passe en Ougigarou : - Convertit son Tacle en Esquive;7596;7596;
Marchandage;;L'Ouginak gagne des résistances en fonction de sa Rage lorsqu'il passe en Ougigarou. En contrepartie, il perd de la Rage en début de tour. Lorsque l'Ouginak passe en Ougigarou, par point de Rage : - 3 Résistance élémentaire (3 tours) En Ougigarou, perd 5 de Rage en début de tour;6280;6280;
Compagnon;;Le Chienchien est plus résistant et possède plus de PA. En échange, il ne peut plus esquiver. À sa mort, l'Ouginak regagne 2 PW. Chienchien : - 2 PA - 100 Résistance élémentaire - Réduit son Esquive à 0 À la mort du Chienchien : - 2 PW;6274;6274;
Maître Chien;;Le Chienchien reproduit les actions de l'Ouginak. En contrepartie, il ne peut plus lancer de sort. Le Chienchien ne peut plus lancer de sort Le Chienchien peut être soigné Lorsque l'Ouginak lance un sort sur une cible et que le Chienchien respecte aussi les conditions de lancer : - Le Chienchien réplique le sort sur la cible;6273;6273;
