Nom;Niveau de deblocage;Effets
Grande évasion;;Si le Roublard utilise Ruse pour changer de mode, il échange de position avec la bombe la plus éloignée, dans un rayon maximum de 6 cases, puis la fait exploser. En utilisant Ruse sur soi-même : - Échange de position avec la la plus éloignée (6 cases max) - Déclenche la - 1 PA
Tacticien;;Le Roublard regagne des PA en déplaçant ses bombes, mais les bombes déplacées perdent 1 niveau. Le Roublard peut regagner 6 PA maximum par tour. En déplaçant une bombe : - Regagne 1 PA - La perd un niveau - 6 max par tour
Jackpot;;Le Roublard échange de position avec la première bombe posée pendant son tour en étant Fourbe, puis échange à nouveau de position avec en fin de tour, si elle est encore sur le terrain. Une fois par tour, si Fourbe : - Échange de position avec la première posée - Échange à nouveau de position avec en fin de tour
Dynamite;;Le Roublard peut lancer Dynamite sur d'autres combattants. S'il le lance sur un allié, il partage le gain de dommages avec lui. S'il le lance sur un ennemi, il le rend vulnérable aux explosions. Dynamite possède 1 à 3 Portée Sur : - Partage le gain de Dommages infligés entre le lanceur et l'allié (2 tours) Sur : - 40 % Dommages subis sur les explosions (2 tours) Le sort ne peut plus se lancer sur le
Mur de poudre;;Le Roublard peut créer des Murs de poudre en alignant des bombes à moins de 5 cases les unes des autres. Le Mur de poudre inflige des dommages à tous les combattants qui commencent leur tour dedans. Si 2 bombes sont alignées : - Un Mur de poudre est créé Les combattants qui commencent leur tour sur le Mur de poudre subissent des dommages Quand un Mur de poudre est activé, les qui forment un Mur de Poudre : - Perdent 1 niveau - Explosent en dessous du niveau 1
Démineur;;Le Roublard ne peut plus changer de mode avec Ruse, mais il change automatiquement de mode lorsqu'il n'a plus de Poudre. Si le Roublard arrive à 0 Poudre (1 fois par tour) : - Fuyard : Passe en Fourbe - Fourbe : Passe en Fuyard - La prochaine Ruse lancée sur lui donne +3 niveaux Ne peut plus utiliser Ruse pour changer de mode
Lame rouillée;;Les sorts élémentaires du Roublard en Fuyard sont à portée fixe, mais génèrent des Lames rouillées. Ces Lames rouillées sont consommées en Fourbe pour appliquer un poison cumulable sur une cible. En Fuyard : - Les sorts élémentaires génèrent des Lame rouillée - La portée des sorts élémentaires est fixe En Fourbe : - Les sorts élémentaires consomment des Lame rouillée - Les Lame rouillée appliquent Tétanos
Baril;;La réserve de Poudre du Roublard est plus grande, mais ses bombes n'évoluent plus naturellement. Le maximum de Poudre passe à 20 Les ne montent plus de niveau naturellement
Maître Roublard;;En début de tour, le Roublard cumule l'état "Maître Roublard" jusqu'au niveau 5 maximum. En passant de Fourbe à Fuyard, ou de Fuyard à Fourbe, le Roublard gagnera des bonus supplémentaires selon le mode. En contrepartie, le sort Ruse possède 2 tours de relance. En début de tour : - Maître Roublard (+1 Niv.) Ruse possède 2 tours de relance
Tunique renforcée;;À la fin de son tour, le Roublard utilise les bombes à son contact pour se protéger en absorbant leurs résistances. En fin de tour, par au contact : - 30 Résistance élémentaire (1 tour) - -30 Résistance élémentaire (1 tour) Immunisé aux dommages des alliées
Tir surprise;;Le Roublard infligera des dommages supplémentaires sur son prochain sort élémentaire après avoir changé de mode. La connexion est perdue si le Roublard utilise ses PM pour se déplacer. En contrepartie, Ruse ne peut plus être utilisé pour échanger de position avec un autre combattant. En changeant de mode : - Tir surprise (Niv. 91) Ruse possède 0 Portée
Bomber Fan;;Le Roublard gagne 1 PA quand une bombe explose, mais ses bombes ne possèdent qu'un seul point de vie. Lorsqu'une explose : - 1 PA (1 tour) Les possèdent 1 PV
Trainée de poudre;;Le Roublard gagne des PM en invoquant des bombes. En contrepartie, Ruse possède maintenant une ligne de vue. En invoquant une bombe : - 1 PM (1 tour) Ruse possède une ligne de vue
Bombes élémentaires;;Les bombes du Roublard possèdent des effets supplémentaires. En contrepartie, le niveau maximum des bombes est réduit. Lors d'une explosion : - Incurable (+1 par niveau de la bombe) - -2 PM - -1 Portée (1 tour, max 3) Le niveau maximum des bombes est limité à 6
Maître des lames;;En étant Fourbe, le Roublard consomme sa Poudre pour gagner de l'Armure. En infligeant des dommages directs en Fourbe : - Consomme 1 Poudre - Armure : 5 % des PV max
Fugitif;;Au début de son tour, le Roublard échange de position avec sa bombe la plus proche, située à 4 cases maximum, puis la stabilise. En début de tour : - Échange de position avec la la plus proche (4 cases max) - Soin : 10 % des PV max du lanceur
Artificier;;Les bombes évoluent plus vite, mais le Roublard ne peut en poser qu'une de chaque élément par tour. Les gagnent 2 niveaux à l'invocation Les n'évoluent plus 1 maximum par élément par tour
Explobombe;;Les bombes explosent à leur mort. Un final explosif de toute beauté ! Les explosent lorsqu'elles sont détruites
Roublaboom;;Permet au Roublard de renforcer l'outil précieux qu'est le Roublabot. En plus de gagner des PA et des PM, il peut cibler d'autres combattants que les bombes du Roublard, mais il meurt à la fin de son tour. Le Roublabot : - Gagne 2 PA et 2 PM supplémentaires - Peut cibler d'autres combattants - Meurt à la fin de son tour
Bombes à retardement;;Au lieu de poser directement des bombes, le Roublard pose des glyphes. Au début du prochain tour, ces glyphes se transforment en bombe si la cellule est toujours libre. Les bombes invoquées ainsi gagnent directement des niveaux. Le Roublard pose un glyphe à la place des : - La apparait à la place du glyphe au début du prochain tour si la cellule est libre - La gagne 2 niveaux
