Nom;Niveau de deblocage;Effets
Attirance;;Attire une cible vers le Sacrieur depuis une grande distance. Attire de 6 cases
Circulation sanguine;;Les soins du Sacrieur sont considérablement moins réduits par la résistance au soin, mais les armures qu'il reçoit sont réduites. L'impact de la Résistance soin lorsque le Sacrieur se soigne est réduit de moitié -50 % Armure reçue
Immolation;;Le Sacrieur s'enflamme s'il finit au contact d'un ennemi. Si aucun ennemi n'est à son contact au début de son tour, il subit un retour de flamme équivalent à l'Enflammé. En fin de tour, si un ennemi est au contact du Sacrieur : - 100 % du niveau en Enflammé Si aucun ennemi n'est au contact du Sacrieur au début de son tour : Retour de flamme : subit l'enflammé
Pilier;;Rend le Sacrieur moins mobile, mais lui confère des capacités de régénérations de PV et un bonus de résistance lorsqu'il est au contact de ses ennemis. En fin de tour, par ennemi au contact : - Soin : 10 % des PV manquants du lanceur - 30 Résistance Élémentaire (1 tour) - -1 PM max (1 tour)
Mal des transports;;Les cibles déplacées par le Sacrieur perdent des PM. Si le Sacrieur se déplace avec un sort, il perd des PM également. Si un combattant est déplacé par le Sacrieur : -2 PM (1 tour, non cumulable)
Coeur de Sacrieur;;Sous l'influence du Châtiment osé, la maîtrise mêlée et la maîtrise distance du Sacrieur s'ajoutent pour augmenter ses dommages et sa polyvalence en contrepartie de sa portée. En Châtiment osé : - La Maîtrise mêlée est ajoutée à la Maîtrise distance - La Maîtrise distance est ajoutée à la Maîtrise mêlée -2 Portée
Pacte de Wakfu;;Le Sacrieur gagne des PV, mais subit un retour de flamme à chaque fois qu'il utilise des PW. Bonus de PV pour le Sacrieur : - 400 % de son niveau (+0) Pour chaque PW utilisé : - Retour de flamme : 5 % des PV courants
Armure brûlante;;Le Sacrieur transforme ses retours de flamme en Armure. En contrepartie, s'il lui reste de l'Armure au début de son tour, il la subit. Les Retours de flamme sont transformés en Armure En début de tour, le Sacrieur subit l'Armure restante
Vision;;Ce passif augmente la portée des sorts de déplacement du Sacrieur. En contrepartie, les gains d'Armure sont réduits de moitié si le Sacrieur n'est pas au contact d'un autre combattant. 1 Portée aux sorts de déplacement Si le Sacrieur n'a pas de combattant à son contact : - Les gains d'Armure sont réduits de moitié
Jeu dangereux;;Ce passif rend beaucoup plus facile la capacité du Sacrieur à s'extirper d'une situation difficile où il possède très peu de PV. En revanche, il ne peut plus être facilement soigné lorsqu'il a des PV courants élevés. Si PV courants < 35 % : - 100 % Soins reçus Si PV courants >= 35 % : -75 % Soins reçus
Traînée de sang;;Le Sacrieur augmente son Tacle et son Esquive à chaque fois qu'il s'inflige un retour de flamme. En contrepartie, ces derniers sont plus élevés. Lorsque le Sacrieur s'inflige un Retour de flamme : - 100 % du niveau en Tacle (1 tour, cumulable) - 100 % du niveau en Esquive (1 tour, cumulable) Les Retours de flamme sont augmentés de 20 %
Refus de la mort;;Quand le Sacrieur est fatalement blessé, il gagne des résistances et un grand montant d'Armure. En échange, il ne pourra pas repasser au-dessus de 20 % des PV max pendant 1 tour complet. En passant sous 20 % PV max : - 20 % des PV max en Armure - Mort en Sursis
Fracasseur;;Ce passif offre au Sacrieur un meilleur contrôle de ses PV : en infligeant des dommages à une cible, il en vole une partie si elle possède plus de % PV que le Sacrieur. Si ce dernier possède plus de % PV que sa cible, il s'inflige un retour de flamme. Si la cible a plus de %PV que le Sacrieur : - 25% vie volée Sinon : - Retour de flamme : 15% des dommages infligés
Mobilité;;Le Sacrieur peut déplacer ses cibles et lui-même plus aisément, au détriment de sa capacité à maintenir ses adversaires au contact. À chaque sort de déplacement (3 fois max) : - 1 PM max (1 tour) - 100 % du niveau en Esquive (1 tour) En début de combat, le Tacle est réduit à 0
