Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Arbre;;Le Sadida se transforme en arbre pour un tour, il ne peut plus bouger, se soigne et augmente ses résistances. Transforme le Sadida en Arbre Soin : 20 % des PV max Passe son tour;;;
Cycle sylvestre;;Les Arbres invoqués par le Sadida gagnent de l'Engrainé supplémentaire, mais meurent au début de son prochain tour. En invoquant un Arbre de Sadida : - Arbre engrainé (+3 Niv.) Les Arbres meurent au début du prochain tour;8155;4300;
Terrain infecté;;Les Arbres du Sadida appliquent des Toxines aux ennemis dans leur zone d'influence. Le Sadida ne peut invoquer ses Arbres qu'au contact d'un combattant. Les Arbre de Sadida appliquent du poison : - Toxines (+2 Niv. par niveau d'Engrainé) Chaque Arbre de Sadida ne peut être invoqué qu'au contact d'un combattant;5055;7195;
Bénédiction Voodoll;;La Voodoll ne peut plus être liée à un ennemi, mais elle gagne en mobilité et en portée pour soutenir les autres poupées du Sadida. La Voodoll : - Ne peut plus être liée à un - Gagne 3 PM max - Gagne 2 Portée sur son sort Rituel totémique;8149;2324;
Garde Feuille;;Les Arbres du Sadida donnent des bonus d'Armure reçue et de Soins reçus aux combattants à proximité, permettant de mieux les protéger. Arbre de Sadida : - Bénédiction végétale devient Garde feuille - Les bonus deviennent des bonus d'Armure reçue et de Soins reçus - Le bonus de base passe de 20 % à 40 %;913;913;
Communication végétale;;Le Sadida transmet ses PM restants à ses poupées à la fin de son tour. Par contre, s'il n'a plus de PM à la fin de son tour, ses poupées perdent tous leurs PM. En fin de tour, les PM restants du Sadida sont transmis à ses Si le Sadida n'a plus de PM à la fin de son tour, les perdent tous leurs PM;8156;7053;
Poussée sylvestre;;Le Sadida invoque instantanément des Arbres avec le sort Graine. En fin de tour, le Sadida invoque des graines au contact de ses Arbres, en revanche les Arbres ne lui font plus regagner de PW. Le Sadida peut retirer les graines du terrain en utilisant le sort Graine. Désactive la régénération de PW des Arbres Le sort Graine change de fonctionnement Sur cellule libre : - Invoque directement un Arbre de Sadida Sur Graine de Sadida : - Retire la Graine de Sadida En fin de tour du Sadida, autour des Arbres : - Des Graine de Sadida sont invoquées;8150;2118;
Chaîne de la nature;;Le Sadida gagne en Volonté mais perd un PM également à chaque fois qu'il effectue un retrait PM. 20 Volonté À chaque retrait PM effectué : - Perd 1 PM (fixe);8158;7193;{"WILLPOWER":20}
Terrain d'entente;;Les Arbres du Sadida protègent les combattants à leur contact en leur accordant un bonus de résistance. En contrepartie, leur zone d'influence est réduite. Autour des Arbre de Sadida : - 50 Résistance élémentaire La zone d'influence des Arbre de Sadida devient une croix de taille 1;7053;6997;
Venimeux;;Le Sadida annule tous les retraits PM qu'il effectue mais les remplace par de la Toxines. Toxines est un poison qui inflige des dommages au début du tour de la cible et qui peut être maintenu tous les tours. À chaque retrait de PM effectué : - Annule la perte de PM - Toxines (+1 Niv.);5234;5234;
Terrain fertile;;Les poupées et les graines gagnent 1 niveau d'engrainé supplémentaire si elles sont à proximité d'un arbre du Sadida, sinon elles n'en gagnent pas. En fin de tour, les et Graine de Sadida gagnent 1 niveau d'Engrainé supplémentaire si elles sont à proximité d'un Arbre Sinon, elles ne gagnent pas d'Engrainé;8151;5104;
