Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Inversion d'énergie;;Le Steamer inverse sa régénération de Point de Wakfu et Point de Stasis. Il regagne alors naturellement 1 PS en fin de tour, et sa Tourelle lui régénère des PW. Les regains de PS et PW du Steamer sont inversés : - Regagne 1 PS en fin de tour - Regagne 1 PW à chaque fois que sa tourelle touche un ennemi - Les PW en excédents sont convertis en PS;6935;4300;
Mécanique avancée;;Le Steamer peut invoquer deux tourelles en échange d'une partie de ses dommages directs infligés. Le Steamer peut contrôler 2 tourelles à la fois sur le terrain -30 % Dommages directs infligés;6943;7181;
Bidouillage;;La tourelle gagne des effets supplémentaires au détriment de ses dommages. -50 % Dommages infligés par la tourelle La Tourelle possède des effets supplémentaires selon l'élément actif : - : Applique Incurable (+2 Niv.) (+1 par niveau de la Tourelle) - : Pousse les ennemis de 2 cases (+1 par niveau de la Tourelle) - : Armure aux alliés (3 % des PV max du Steamer +2 par niveau de la Tourelle);;;
Conquête sereine;;Le Steamer gagne des chances de Parade. En échange, il perd des PS max au début du combat. En début de combat : -2 PS max 50 % Parade lorsque le Steamer n'est pas Canonnier;6941;5245;{"BLOCK_PERCENTAGE":50}
Roues chaudes;;Les rails du Steamer infligent des dommages aux ennemis qui commencent ou finissent leur tour dessus, mais les Microbots coûtent 1 PS. Dommage : 121 aux ennemis qui commencent ou finissent leur tour sur les rails Le sort Microbot coûte 1 PS en plus;6940;6933;
Protection stasifiée;;Les PS supplémentaires (au-delà du premier) générés par la Tourelle sont transformés en Armure. La Tourelle ne régénère qu'un PS peu importe son niveau Les PS supplémentaires générés par les niveaux de la Tourelle sont transformés en Armure sur le Steamer : - 5 % PV max par niveau en Armure;6939;2820;
Exécution immédiate;;La Tourelle du Steamer ne se déclenche plus automatiquement en fin de tour. À la place, le Steamer peut la déclencher manuellement. La Tourelle s'active lorsque le Steamer utilise le sort Tourelle dessus La Tourelle ne s'active plus automatiquement en fin de tour;6938;6925;
Activation;;Le Steamer peut utiliser le sort Tourelle sur des cibles. L'effet dépend de l'élément actif de la Tourelle : Feu, la Tourelle inflige des dommages à la cible. Eau, elle échange de position avec. Terre, elle applique de l'Armure à la cible. Les effets sont augmentés en cas de Coup critique. Le sort Tourelle possède des effets supplémentaires si lancé sur une cible (autre que la Tourelle) : - : Dommage : 17 (+100 % niveau 2) - : Échange de position avec la Tourelle (max 7 cases) - : Armure : 5 % des PV max du (+100 % niveau 2) La Tourelle ne peut monter que niveau 2 max;6937;5456;
Revêtement à toute épreuve;;Le Steamer gagne des PV. En échange, Steamerator lui inflige de lourds dommages en fin de tour. 600 % du niveau en PV max Steamerator retire 25 % des PV courants du Steamer en fin de tour;6936;7344;
Substitution mécanique;;La tourelle joue des effets supplémentaires lorsque le Steamer lance un sort terre ou eau dessus. La première fois qu'un effet est déclenché dans le tour, le Steamer regagne des PA. En contrepartie, invoquer ou améliorer la Tourelle coûte 1 PW. Lorsque le Steamer lance un sort élémentaire sur sa Tourelle : - : Le Steamer échange de position avec la tourelle - : Attire d'1 case par PA du sort (7) - 2 PA (1x par tour) Le sort Tourelle coûte 1 PW;6932;5461;
Alliage léger;;Réduit la capacité de déplacement du Steamer au profit de sa capacité de placement avec ses rails. +2 microbots max sur le terrain -1 PM max;6934;2819;
Patience;;Le Steamer gagne instantanément deux Points de Stasis (PS) non-régénérables lorsqu'il atteint son maximum de PS. Il peut ainsi dépasser son nombre maximum de PS temporairement. En contrepartie, il perd des PW max en début de combat. Si le Steamer atteint son max de PS : - 2 PS max (non régénérable) En début de combat : - -2 PW max;6933;6939;
Modérateur d'énergie;;Le Steamer gagne un bonus de PM et de Portée au début de son tour s'il possède tous ses PW. Si le Steamer possède tous ses PW en début de tour : - 1 PM (1 tour) - 30 % Armure donnée (1 tour) - +2 Portée min et max sur tous les sorts (1 tour);6925;6931;
Assistance tellurique;;Le Steamer invoque des blocs lorsqu'il lance un sort terre sur une cellule vide. Ces blocs protègent les alliés à proximité. Les zones de protection des blocs ne peuvent pas se superposer. Lancer un sort terre sur une case vide pose un bloc (1 tour) Le bloc possède 3 % des PV max du Steamer par PA du sort utilisé Le bloc intercepte les dommages des alliés en mêlée 3 blocs max Les zones de protection des blocs ne peuvent pas se superposer -30 % Armure reçue;6931;2816;
Technologie de transports;;Le coût des Microbots diminue. En contrepartie, la portée est réduite à 3 maximum. Microbot : - Coûte 1 PA de moins - A désormais 3 Portée max non modifiable;6930;6930;
Stratégie robotique;;Le Steamer vole de la vie lorsque sa Tourelle inflige des dommages en échange d'une partie de ses dommages indirects. Le Steamer est soigné de 30 % des dommages infligés par la Tourelle -20 % Dommages indirects;6929;5462;
Blindage renforcé;;La tourelle est plus résistante. En contrepartie, le Steamer ne peut la poser qu'à 3 cases max au lieu de 6. Tourelle : - Possède 50 % PV supplémentaire - Passe à 3 Portée non modifiable;6928;6691;
Versatilité;;Le Steamer gagne des bonus en fin de tour selon son positionnement. En fin de tour, si le Steamer est à 3 cases ou moins d'un ennemi : - 50 Résistance et 0 Tacle, -10 % Dommages infligés (1 tour) Sinon : - 1 Portée et 0 Esquive, -50 Résistance élémentaire (1 tour);6927;4689;
Routes sinueuses;;Le Steamer peut poser plus de microbots chaque tour. En échange, la taille maximale des rails (entre deux microbots) diminue. Microbot passe à 4 utilisations par tour -2 à la taille des rails;6926;2817;
Déploiement tactique;;Le Steamer peut poser sa Tourelle sans ligne de vue mais seulement en ligne. Le sort Tourelle ne possède plus de ligne de vue Le sort Tourelle ne se lance qu'en ligne;7810;7107;
