Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages;Id;MaxParCible;Cooldown;wpCostAB;iconId;AreaAB
Flèche chercheuse;;2;0;0;air;monocible;4-9;oui;Ce sort possède une très grande portée. De plus, il peut traverser les obstacles si le Crâ est sous Tir précis. Ce sort génère 20 d'Affûtage et de Précision.;Dommage : 55 Tir précis : Le sort passe sans ligne de vue - Consomme 30 de Précision;2;2;55;69;4;4813;0;0;0;594;monocible
Flèche de recul;;3;0;0;air;monocible;1-4;oui;Repousse la cible de plusieurs cases. Ce sort génère 40 d'Affûtage et de Précision.;Dommage : 121 Pousse de 3 cases Tir précis : Pousse de 6 cases - Consomme 60 de Précision;4;5;121;152;2;4810;1;0;1;612;monocible
Flèche tempête;;3;0;0;air;zone;3-6;oui;Inflige des dommages air en zone cône. Ce sort génère 30 d'Affûtage et de Précision.;Dommage : 91 Tir précis : Dommage : 121 - Consomme 45 de Précision La zone est plus grande en diagonale;3;3;91;114;3;4809;0;0;0;899;zone
Flèche harcelante;;4;0;0;air;zone;2-6;oui;Ce sort est sans ligne de vue. Il peut ainsi traverser les obstacles pour infliger des dommages à des cibles cachées. Ce sort génère 40 d'Affûtage et de Précision.;Dommage : 111 Flèche harcelante (+50 Niv.) - 50 % Dommages infligés par la prochaine Flèche harcelante - Max 100 %, est désappliqué ensuite Tir précis : Les dommages passent sous l'Armure - Consomme 45 de Précision;4;5;111;139;1;4811;0;0;0;608;monocible
Flèche statique;;5;0;0;air;monocible;5-8;oui;Si le lanceur n'a pas effectué de déplacement avec des PM dans son tour, ce sort inflige des dommages élevés. Ce sort génère 60 d'Affûtage et de Précision.;Dommage : 182 Si le Crâ n'a pas utilisé de PM pour se déplacer dans son tour : - Dommage supplémentaires : 60 Tir précis : Dommage supplémentaires : 121 - Consomme 90 de Précision;6;7;182;228;2;4812;1;0;1;890;monocible
Flèche fulminante;;3;0;0;feu;monocible;2-5;oui;Inflige des dommages feu importants sur la cible. Ce sort génère 30 d'Affûtage et de Précision.;Dommage : 98 Tir précis : Dommage : 131 - Consomme 45 de Précision;3;3;98;123;3;4820;0;0;0;601;monocible
Flèche d'immolation;;2;0;0;feu;monocible;2-5;oui;Inflige des dommages feu en croix. Le sort inflige des dommages doublés sur les invocations ciblées. Ce sort génère 20 d'Affûtage et de Précision.;Dommage : 60 - Dommage : 121 sur invocations Tir précis : Dommage : 182 sur invocations - Consomme 30 de Précision;2;2;60;76;3;4822;0;0;0;604;zone
Flèche enflammée;;4;0;0;feu;zone;2-5;oui;Inflige des dommages en zone, touchant 5 cases à la verticale à partir de la case sur laquelle est lancé le sort. De plus, les ennemis touchés par ce sort subissent davantage de dommages indirects (poisons, pièges...) pendant un tour. Ce sort génère 40 d'Affûtage et de Précision.;En ligne verticale de taille 5 : - Dommage : 121 - Echaudé (Niv. 3) Tir précis : Echaudé (Niv. 5) - Consomme 60 de Précision;4;5;121;152;2;4821;0;0;0;4821;zone
Flèche ardente;;2;0;0;feu;monocible;2-5;oui;Vole 1 PM à la cible. Ce sort génère 20 d'Affûtage et de Précision.;Vole 1 PM Dommage : 60 Tir précis : Vole 2 PM - Consomme 30 de Précision;2;2;60;76;3;4769;2;0;0;600;monocible
Flèche explosive;;5;0;0;feu;monocible;3-5;oui;Inflige des dommages feu élevés en cercle de taille 2. Ce sort génère 60 d'Affûtage et de Précision.;Dommage : 139 Tir précis : Dommage : 195 - Consomme 90 de Précision;5;6;139;174;2;4819;0;0;1;606;monocible
