Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages;Id;MaxParCible;Cooldown;wpCostAB;iconId;AreaAB
Wakméha;;4;0;0;eau;monocible;1-5;oui;En serein, ce sort inflige de lourds dommages s'il est lancé à travers un portail. En exalté, il inflige des dommages sur et sous l'armure d'une cible simultanément.;Serein : - Dommage : 131 Si le sort traverse un Portail : - Dommage : 32 supplémentaires Exalté : - Dommage : 111, passe sous l'Armure - La cible perd la même valeur en Armure;4;5;131;164;;4691;2;0;0;4691;monocible
Pulsation;;2;0;0;eau;monocible;1-4;oui;Ce sort permet d'infliger des dommages monocible ou de soigner un allié à travers les portails de manière souple. Si aucun portail se situe à 3 cases ou moins de la cible, les dommages et les soins sont augmentés.;Si aucun portail à 3 cases ou moins de la cible : - Dommage : 91 - Soin : 50 Sinon : - Dommage : 60 - Soin : 33;3;3;91;114;4;4692;3;0;0;4692;monocible
Déluge;;3;0;0;eau;monocible;1-5;oui;En serein, l'Eliotrope échange de position avec sa cible. En exalté, l'Eliotrope se téléporte symétriquement à sa cible. Si ce sort est lancé à travers les portails, seuls les dommages ou les soins sont effectués.;Serein : - Echange de position Exalté : - Se téléporte symétriquement à la cible - Le sort possède 2 Portée de moins Dommage : 105 Soin : 57 Si le sort traverse un portail, seuls les dommages ou les soins sont effectués;3;3;105;132;3;4693;2;0;0;4693;monocible
Tourbillon;;2;0;0;eau;zone;1-4;oui;Ce sort ne peut être lancé que si la cible est un portail allié. En plus d'infliger des dommages et de soigner en zone, il pousse en zone autour du portail en mode serein, et attire autour du portail en mode exalté.;Dommage : 60 Soin : 33 Serein : - Pousse de 2 cases Exalté : - Attire de 2 cases Peut cibler n'importe quel portail sur le terrain à partir d'un portail d'entrée Ne peut être lancé que sur un Portail;2;2;60;76;2;4680;0;0;0;4680;zone
Cataclysme;;5;0;0;eau;zone;1-4;oui;Serein, l'Eliotrope déploie une zone d'effet Cataclysme sur le terrain. Au prochain lancer d'Exaltation, il se téléporte sur la zone, puis inflige de gros dommages autour de lui. En exalté, l'Eliotrope inflige de lourds dommages à la cible.;Serein : Pose un Cataclysme - ne peut plus traverser de Portail jusqu'à la fin du tour Au lancer du sort Exaltation, l'Eliotrope : - Se téléporte sur le Cataclysme (Échange de position si la case est occupée) - Dommage : 195 (dommages directs) Exalté : Dommage : 247;7;8;195;244;1;4694;0;2;0;4694;zone
Targe fracassante;;3;0;0;terre;monocible;1-3;oui;Ce sort inflige des dommages Terre et entrave la cible en fonction du mode actif de l'Eliotrope. Si l'Eliotrope consomme le Don céleste sur le sort, les retraits sont doublés.;Dommage : 91 Serein : -2 PA Exalté : -2 PM Les retraits sont doublés si l'Eliotrope consomme Don Céleste;3;3;91;114;2;4669;0;0;0;4669;monocible
Egide ardente;;3;0;0;terre;monocible;2-5;oui;Ce sort permet de replacer un portail sur une cible ou à travers un autre portail. Si l'Eliotrope possède le Don céleste au moment de lancer le sort, le coût en PW est remboursé.;Serein : Dommage : 111 - Replace le Portail le plus éloigné sur la cellule - Ne peut cibler qu'une cellule libre Exalté : Dommage : 111 - Replace le Portail le plus éloigné sur la cible - Doit cibler une cellule occupée Regagne 1 PW si l'Eliotrope possède Don Céleste;4;5;111;139;2;4668;1;0;1;4668;monocible
Séisme;;4;0;0;terre;zone;1-4;oui;Si l'Eliotrope se cible, il Inflige des dommages autour de lui. S'il cible un ennemi, il marque l'ennemi : au prochain lancer d'Exaltation, ce dernier subira des dommages indirects.;Si se cible : - Dommage : 111 : Séisme (+131 Niv.) (4x max);4;5;111;139;2;4670;0;0;0;4670;zone
Heurt;;4;0;0;terre;zone;1-4;oui;Inflige des dommages en croix. En exalté, la zone d'effet change en croix diagonale. Si l'Eliotrope consomme Don céleste sur ce sort, il regagne 1 PA par cible tuée.;Serein : - Dommage : 121 Exalté : - Dommage : 121 Regagne 1 PA par cible tuée si l'Eliotrope consomme Don Céleste;4;5;121;152;2;4695;0;0;0;4695;zone
Raclée;;3;0;0;terre;monocible;1-4;oui;Inflige des dommages terre. Si la cible se trouve sur un portail, l'Eliotrope se soigne d'un montant égal aux dommages qu'il inflige s'il est en serein, et les dommages sont augmentés s'il est en exalté.;Dommage : 98 Si la cible est sur un Portail : - Serein : Vole 100 % des Dommages infligés - Exalté : Dommage : 131 à la place;3;3;98;123;4;4671;2;0;0;4671;monocible
