Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages;Id;MaxParCible;Cooldown;wpCostAB;iconId;AreaAB
Emeute;;3;0;0;eau;monocible;1-3;oui;L'Ouginak vole un PM à sa cible. Le vol est plus élevé si l'Ouginak possède beaucoup de PV.;Vole 1 PM Dommage : 98 Si le possède plus de 80 % de ses PV : - Vole 2 PM à la place;3;3;98;123;3;6260;2;0;0;6260;monocible
Fléau;;4;0;0;eau;zone;1-3;oui;L’Ouginak crée un geyser sous ses cibles. Il récupère une partie de la vie qu’il leur retire.;Dommage : 152 - 40 % vie volée;5;6;152;190;2;6257;0;0;1;6257;monocible
Rupture;;2;0;0;eau;monocible;1-2;oui;Les dommages de ce sort s’accompagnent d’un vol de vie. Le sort est plus puissant sur les invocations.;Dommage : 70 - 50 % vie volée Si la cible est une invocation : - Dommage : 141 - 50 % vie volée;2;2;70;88;3;6258;0;0;0;6258;monocible
Plombage;;3;0;0;eau;zone;1-1;oui;Ce sort inflige de puissants dommages à ses adversaires en ligne. Les dommages sont augmentés si l'Ouginak possède beaucoup de PV.;Dommage : 98 Si le possède plus de 80 % de ses PV : - Dommage : 131 à la place;3;3;98;123;3;6256;0;0;0;6256;zone
Balafre;;5;0;0;eau;monocible;1-4;oui;L'Ouginak inflige de lourds dommages à la cible et lui applique un malus de soins et d'armure reçus. Le malus est plus grand si l'Ouginak possède beaucoup de PV.;Dommage : 188 Incurable (Niv. 3) Friable (Niv. 3) Si le possède plus de 80 % de ses PV : - Incurable (Niv. 6) - Friable (Niv. 6);5;6;188;235;2;6259;1;0;0;6259;monocible
Croc-en-jambe;;2;0;0;terre;monocible;1-1;oui;C’est un des grands classiques de l’Ouginak. Sa morsure paralyse sa cible, l’empêchant de s’enfuir.;Dommage : 65 et -2 PM;2;2;65;82;2;6261;0;0;0;6261;monocible
Bastonnade;;3;0;0;terre;zone;1-1;oui;Inflige des dommages terre à une cible. Au tour suivant, les dommages sont triplés sur les cibles ayant déjà subi le sort.;Dommage : 83 Bastonnade Si la cible est Bastonné : - Dommage : 251 à la place;3;3;83;104;4;6263;2;0;1;6263;monocible
Molosse;;4;0;0;terre;zone;1-2;oui;L'Ouginak inflige des dommages en zone et gagne de l'Armure en fonction du nombre d'ennemis qu'il touche.;Par ennemi touché : - 467 Armure Dommage : 121;4;5;121;152;;6265;0;0;0;6265;zone
Hachure;;3;0;0;terre;zone;1-2;oui;Hachure fait des dommages en zone et marque les cibles : pendant un tour, elles subiront des dommages supplémentaires à chaque fois que l'Ouginak les attaque directement.;Dommage : 83 Hachure (Niv. 30);3;3;83;104;2;6262;0;0;0;6262;zone
Saccade;;4;0;0;terre;monocible;1-2;oui;L'Ouginak inflige des dommages supplémentaires sur l'Armure de la cible, en plus de se protéger à son tour.;Si la cible a de l'Armure : - Dommage : 65 (sur l'Armure) Dommage : 131 Gain d'Armure : 5 % des PV max;4;5;131;164;2;6264;0;0;0;6264;monocible
Balayage;;4;0;0;air;monocible;1-3;oui;L'Ouginak attire sa cible et lui inflige des dommages air. Les dommages sont plus élevés si la cible se retrouve à son contact.;Attire de 1 case Dommage : 131 Si la cible arrive ou est au contact de l'Ouginak : - Dommage : 164 à la place;4;5;131;164;2;6266;0;0;0;6266;monocible
Contusion;;3;0;0;air;zone;2-3;oui;L’Ouginak pousse les combattants autour de la cible en infligeant des dommages aux ennemis.;Dommage : 91 Pousse de 1 case;3;3;91;114;3;6267;0;0;0;6267;zone
Cador;;3;0;0;air;monocible;3-5;oui;L’Ouginak utilise son grappin pour blesser son ennemi ! Il en profite pour passer dans son dos.;Dommage : 121 Téléporte derrière la cible;4;5;121;152;2;6268;0;0;1;6268;monocible
Brise'Os;;2;0;0;air;monocible;1-3;oui;L'Ouginak applique un poison sur sa cible. Elle subira des dommages à chacun de ses déplacements pendant son tour.;Dommage : 35 Fracture (Niv. 70);1;1;35;44;3;6269;1;0;0;6269;monocible
Baroud;;6;0;0;air;monocible;1-3;oui;L’Ouginak applique son plus puissant poison sur son ennemi... Si la cible termine son tour au corps-à-corps de l'Ouginak, elle subit des dommages supplémentaires !;Dommage : 152 Baroud (Niv. 121) (2 tours);5;6;152;190;2;6270;1;0;1;6270;monocible
