Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages;Id;MaxParCible;Cooldown;wpCostAB;iconId;AreaAB
Vaporiser;;2;0;0;eau;monocible;1-5;oui;Ce sort permet de rendre une invocation transparente (ne bloque plus les lignes de vue). Si la cible est une Poupée du Sadida, celle-ci gagnera un niveau d'Engrainé supplémentaire à la fin de son tour. Si le sort est lancé sur une graine, le Sadida invoque une Goulue avec un bonus de dommages permanent.;Dommage : 65 ou Arbre Transparent (Niv. 1) En fin de tour : Engrainé (+1 Niv.) Sur Graine de Sadida : - Invoque La Goulue - Hydratée (Niv. 1);2;2;65;82;;921;3;0;0;921;monocible
Larme du Sadida;;3;0;0;eau;monocible;1-4;oui;Ce sort peut infliger des dommages à un ennemi ou soigner un allié sans ligne de vue. Il permet également de rendre une poupée plus résistante. Si le sort est lancé sur une graine, le Sadida invoque une Gonflable capable d'augmenter les dommages des alliés.;Dommage : 98 Soin : 53 100 Résistance Élémentaire (1 tour) Sur Graine de Sadida : - Invoque La Gonflable - Attendrie (Niv. 1);3;3;98;123;3;918;0;0;0;918;monocible
Gadoule;;3;0;0;eau;zone;1-4;oui;Ce sort permet de soigner un allié ou de retirer un PM à un ennemi tout en lui infligeant des dommages. Si le sort est lancé sur une graine, le Sadida invoque une Bloqueuse qui retire des PM autour d'elle à la fin de son tour.;-1 PM Dommage : 83 Soin : 50 Sur Graine de Sadida : - Invoque La Bloqueuse - Boueuse (Niv. 1);3;3;83;104;3;930;2;0;0;930;monocible
Rouille;;4;0;0;eau;zone;2-4;oui;Le Sadida soigne ses alliés et inflige des dommages à ses ennemis dans la zone.;Dommage : 102 Soin : 57;4;5;102;127;3;931;0;0;0;931;zone
Drainage;;5;0;0;eau;zone;1-4;oui;Le Sadida draine les Points de Vie d’une cible et les transfère aux cibles proches.;Dommage : 182 Soin : 100;6;7;182;228;2;922;0;0;1;922;monocible
Bourrasque;;2;0;0;air;zone;2-4;oui;Bourrasque permet de repousser les autres combattants autour de la cible. Si la cible est un allié, il gagne un bonus de dommages pour un tour. Si le sort est lancé sur une graine, le Sadida invoque une Folle qui appliquera ses effets en zone.;Dommage : 51 20 % Dommages infligés Pousse de 1 case Sur Graine de Sadida : - Invoque La Folle - Venteuse (Niv. 1);2;2;51;63;2;938;0;0;0;938;zone
Vent Empoisonné;;2;0;0;air;zone;3-4;oui;Le Sadida invoque un puissant vent empoisonné affectant toutes les cibles dans une zone autour de la case ciblée pendant 2 tours. Les cibles touchées par le poison voient leurs dommages réduits et subissent des dommages pour chaque PM ou PA perdu.;Intoxiqué (Niv. 30) (2 tours) -20 % Dommages infligés À chaque perte de PA ou PM par un : - Dommage : 30;1;1;30;30;1;919;0;2;2;919;zone
Coup de Froid;;4;0;0;air;zone;2-3;oui;Ce sort permet de baisser les résistances tout en infligeant des dégâts. Si le sort est lancé sur une graine, le Sadida invoque une Goulue capable de baisser les résistances de ses cibles.;Coup de Froid (+50 Niv.) : -50 Résistance élémentaire Dommage : 111 Sur Graine de Sadida : - Invoque La Goulue - Refroidie (Niv. 1);4;5;111;139;;928;2;0;0;928;monocible
Kohmir;;3;0;0;air;zone;1-3;oui;Kohmir permet au Sadida de tirer une cible durant un tour. Si le sort est lancé sur une graine, le Sadida invoque une Bloqueuse capable de tirer des cibles pendant son tour.;Attire de 2 cases Kohmir (Niv. 1) Dommage : 91 Sur Graine de Sadida : - Invoque La Bloqueuse - Accrocheuse (Niv. 1);3;3;91;114;;934;0;0;0;934;monocible
Relent Boisé;;3;0;0;air;zone;1-4;oui;Ce sort permet au Sadida de maudire un ennemi : celui-ci subira des dommages à chaque fois que le Sadida inflige des poisons. Si le sort est lancé sur une graine, le Sadida invoque une Folle capable d'empoisonner ses cibles.;Dommage : 91 Maudit (+76 Niv.) (2 tours) Sur Graine de Sadida : - Invoque La Folle - Nauséabonde (Niv. 1);3;3;91;114;3;932;0;0;0;932;monocible
Ronce;;3;0;0;terre;monocible;1-5;oui;Inflige des dommages Terre à un ennemi ou donne de l'Armure à un allié. L'Armure absorbe les dommages reçus. Si le sort est lancé sur une graine, le Sadida invoque une Sacrifiée qui devient plus dangereuse à chaque fois que le Sadida subit des dommages d'un ennemi.;Dommage : 91 1 438 Armure Sur Graine de Sadida : - Invoque La Sacrifiée - Épineuse (Niv. 1);3;3;91;114;4;925;3;0;0;925;monocible
Engrais;;4;0;0;terre;monocible;1-3;oui;Ce sort permet de voler 1 PM à un ennemi tout en lui infligeant des dommages Terre, ou d'appliquer une grosse quantité d'Armure sur un allié. L'Armure absorbe les coups reçus. Si le sort est lancé sur une graine, le Sadida invoque une Gonflable capable d'augmenter la mobilité des alliés.;Dommage : 131 et vole 1 PM 2 398 Armure 1 PM (3 si ) Sur Graine de Sadida : - Invoque La Gonflable - Engrais (Niv. 1);4;5;131;164;3;929;2;0;0;929;monocible
Herbes Folles;;2;0;0;terre;monocible;1-2;oui;Herbes Folles permet de réduire le mouvement d'une cible. Si le sort est lancé sur une graine, le Sadida invoque une Sacrifiée capable de retirer des PM aux ennemis lors de son explosion.;-4 PM Dommage : 60 Lancé sur : - Les effets passent en (1) - Les invocations du ne sont pas affectées Sur Graine de Sadida : - Invoque La Sacrifiée - Enracinement (Niv. 1);2;2;60;76;2;927;1;0;0;927;monocible
Tremblement de Terre;;3;0;0;terre;zone;0-6;oui;Le Sadida inflige des dommages en zone autour d'une de ses invocations. Ce sort peut être lancé n'importe où sur le terrain, mais il doit cibler une poupée ou un arbre.;Dommages : 60 (3) Par niveau d'Engrainé : - Dommages supplémentaires : 30 (3) Doit cibler une ou un Arbre;2;2;60;;;935;1;0;0;935;zone
Ronces Multiples;;5;0;0;terre;zone;2-5;oui;Inflige des dommages Terre et retire des PM dans une grande zone.;-2 PM Dommage : 167;6;7;167;209;2;937;0;0;1;937;zone
