Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages
Premier Sang;1;2;0;0;feu;monocible;1-1;oui;Premier sang applique un montant élevé d'Hémorragie aux ennemis qui n'en ont pas. Hémorragie ajoute des dommages à la cible lorsque le Sram lui inflige des dommages directs. Ce sort génère du Point Faible.;Si la cible n'a pas d'Hémorragie : Hémorragie (+10 Niv.) Sinon : Hémorragie (+2 Niv.) Point Faible (+10 Niv.);2;2;66;84
Ouvrir les veines;3;2;0;0;feu;monocible;1-1;oui;En plus d'infliger des dommages, le Sram consomme l'Hémorragie de sa cible pour se soigner et gagner du Point faible. Ce sort génère du Point Faible.;Consomme l'Hémorragie de la cible : Soin : 1 % PV max par niveau et +1 PointFaible par niveau. Point Faible (+10 Niv.).;2;2;72;90
Saignée mortelle;9;3;0;0;feu;monocible;1-5;oui;Inflige des dommages et applique de l'Hémorragie à la cible. Hémorragie ajoute des dommages à la cible lorsque le Sram lui inflige des dommages directs. Les dommages infligés par l'Hémorragie activée par ce sort sont convertis en vol de vie sur le Sram. Au début du prochain tour du Sram, il lance une réplique du sort sur la cible. Ce sort génère du Point Faible.;Hémorragie (+6 Niv.) sur la cible. Saignée mortelle (Niv. 1) sur la cible. Soin : 100 % des dommages infligés par Hémorragie. Point Faible (+15 Niv.);3;3;99;124
Châtiment;11;4;0;0;feu;monocible;1-1;oui;Les dommages de ce sort sont plus élevés si le Sram a consommé du Point Faible dans son tour. Ce sort génère du Point Faible. ;;4;5;130;163
Mise à mort;1;6;0;0;feu;monocible;1-1;oui;Inflige des dommages Feu et consomme le Point faible pour faire des dommages supplémentaires. En fonction du nombre de Point faible consommé, le Sram regagne des PA, des PM et des PW et applique de l'Hémorragie sur la cible après avoir infligé les dommages. Hémorragie ajoute des dommages à la cible lorsque le Sram lui inflige des dommages directs.;1 % Dommages supplémentaires par Point Faible;6;7;232;290
Kleptosram;1;2;0;0;eau;monocible;1-2;non;Inflige des dommages Eau et génère davantage de Point Faible si la cible est de dos.;Si la cible est de dos : Point Faible (+5 Niv.). Point Faible (+10 Niv.).;2;2;66;84
Arnaque;1;2;0;0;eau;monocible;1-2;non;Inflige des dommages Eau et consomme le Point faible pour faire des dommages supplémentaires et se soigner. En fonction du nombre de Point faible consommé, le Sram regagne des PA, des PM et des PW et applique de l'Hémorragie sur la cible après avoir infligé les dommages. Hémorragie ajoute des dommages à la cible lorsque le Sram lui inflige des dommages directs.;1 % Dommages supplémentaires par Point Faible. Soin : 0.5 % des PV max par niv. de Point Faible.;2;2;66;84
Attaque létale;11;4;0;0;eau;monocible;1-2;non;Si le sort tue la cible ennemie, le Sram regagne des PA et des PM. Ce sort génère du Point faible.;Si ce sort tue un ennemi, regagne 2 PA et 2 PM. Point Faible (+20 Niv.).;4;5;144;180
Attaque perfide;17;3;0;0;eau;monocible;1-2;non;Inflige des dommages Eau élevés qui passent sous l'Armure. Une partie des dommages infligés est convertie en Armure sur la cible. Ce sort génère du Point Faible.;40 % des dommages infligés sont convertis en Armure sur la cible. Point Faible (+15 Niv.).;4;5;133;167
Attaque mortelle;23;5;0;0;eau;monocible;1-2;non;Inflige des dommages importants à la cible. Les dommages sont plus élevés si la cible possède moins de la moitié de ses Points de vie. Ce sort génère du Point faible.;Si la cible à en-dessous de 50% de points vie : dommage +40%. Point Faible (+25 Niv.).;5;6;164;230
