Id;Nom;BreedId;MaxParTour;MaxParTourIncr;MaxParCible;Cooldown;wpCost
6967;Fécalistofedes;1;0;0;0;0;0
6968;Météorite;1;2;0;0;0;0
6969;Attaque naturelle;1;0;0;0;0;0
6970;Magma;1;0;0;3;0;0
6971;Volcan;1;0;0;0;0;0
6972;Goutte;1;3;0;0;0;0
6973;Onde;1;2;0;0;0;0
6974;Avalanche;1;2;0;1;0;0
6975;Orage;1;0;0;2;0;0
6976;Lame de fond;1;1;0;0;0;0
6977;Frappe tellurique;1;0;0;2;0;0
6978;Orbe défensif;1;0;0;0;0;0
6979;Bastion;1;2;0;1;0;0
6980;Rempart;1;0;0;0;0;0
6981;Bâton;1;0;0;0;0;0
6982;Immunité;1;0;0;0;4;0
6983;Trêve;1;0;0;0;3;1
6984;Pacification;1;1;0;0;0;1
6985;Provocation;1;0;0;0;3;1
6986;Égide;1;0;0;1;0;1
6987;Magnétisme;1;2;0;0;0;0
6988;Glyphe augmenté;1;0;0;0;0;0
6989;Ligne;1;0;0;0;0;0
6990;Un pour tous;1;0;0;0;0;0
6991;Maître des boucliers;1;0;0;0;0;0
6992;Qui veut la paix prépare la guerre;1;0;0;0;0;0
6993;Marché pacifiste;1;0;0;0;0;0
6994;Connaissance de la carte;1;0;0;0;0;0
6995;La meilleure défense est l’attaque;1;0;0;0;0;0
6996;Armure de combat;1;0;0;0;0;0
6997;Peau rocheuse;1;0;0;0;0;0
6998;Oeil pour oeil;1;0;0;0;0;0
6999;Glyphes persistants;1;0;0;0;0;0
7000;Berger;1;0;0;0;0;0
7001;Expérience du terrain;1;0;0;0;0;0
7002;Boucliers élémentaires;1;0;0;0;0;0
7003;Carapace d’épines;1;0;0;0;0;0
7004;Compréhension du Wakfu;1;0;0;0;0;0
7005;Protecteur du troupeau;1;0;0;0;0;0
7307;Corbeau incendiaire;2;3;0;0;0;0
7308;Fouet enflammé;2;3;0;2;0;0
7309;Tornade de flammes;2;2;0;1;0;1
7310;Attisement;2;2;0;1;0;1
7311;Souffle du dragon;2;2;0;1;0;0
7312;Tempête de sable;2;2;0;1;0;1
7313;Pesanteur;2;4;0;3;0;0
7314;Empalement;2;2;0;0;0;0
7315;Gambade;2;3;0;1;0;0
7316;Frappe du craqueleur;2;2;0;0;0;0
7317;Fouet;2;0;0;2;0;0
7318;Déplumage;2;3;0;0;0;0
7319;Transfert;2;1;0;0;0;1
7320;Souffle répulsif;2;3;0;2;0;0
7321;Tornade de plumes;2;2;0;0;0;0
7322;Dernier souffle;2;0;0;0;3;0
7323;Piqure motivante;2;2;0;1;0;3
7324;Célérité;2;0;0;0;2;1
7325;Cri affaiblissant;2;2;0;1;0;0
7326;Relais;2;2;0;1;0;0
7327;Lien animal;2;0;0;0;2;0
7328;Rage du Mulou;2;0;0;0;0;0
7329;Don animal;2;0;0;0;0;0
7330;Vision du Corbac;2;0;0;0;0;0
7331;Guerrier invocateur;2;0;0;0;0;0
7332;Invocateur solitaire;2;0;0;0;0;0
7333;Transcendance draconique;2;0;0;0;0;0
7334;Esprit du phénix;2;0;0;0;0;0
7335;Force-Taure;2;0;0;0;0;0
7336;Synergie animale;2;0;0;0;0;0
7337;Symbiose;2;0;0;0;0;0
7338;Puissance draconique;2;0;0;0;0;0
7339;Étoile du Sud;2;0;0;0;0;0
7340;Sacrifice animal;2;0;0;0;0;0
7341;Étoile de l'Est;2;0;0;0;0;0
7342;Dévouement animal;2;0;0;0;0;0
7343;Art du dressage;2;0;0;0;0;0
7344;Partage animal;2;0;0;0;0;0
2008;Pelle du jugement;3;4;0;3;0;0
2009;Géologie avancée;3;0;0;0;0;0
2010;Pelle tueuse;3;2;0;0;0;0
2011;Roulage de pelle;3;2;0;0;0;1
2012;Pelle mêle;3;2;0;1;0;0
2013;Pelle sismique;3;2;0;0;0;1
2014;Coupures;3;3;0;1;0;1
2015;Filouterie;3;3;0;2;0;0
2016;Taxe;3;2;0;1;0;0
2017;Epuration;3;2;0;1;0;2
2018;Fusion;3;2;0;0;0;1
2019;Météore;3;2;0;1;0;1
2021;Braise;3;3;0;0;0;0
2022;Coulée de lave;3;1;0;0;0;1
2026;Richesse sismique;3;0;0;0;4;0
2028;Art des marcheurs;3;0;0;0;0;0
2032;Purge;3;2;0;0;0;0
2037;Coup de grisou;3;2;0;0;0;0
2039;Bénédiction Enutrof;3;0;0;0;0;0
2064;Force de l'âge;3;0;0;0;3;1
5059;Placements boursiers;3;0;0;0;0;0
5071;Cupidité;3;0;0;0;0;0
5075;Phorzertanker;3;0;0;0;0;0
5076;Côté en bourse;3;0;0;0;0;0
6324;Accélération;3;1;0;0;0;1
6326;Intérêts créditeurs;3;0;0;0;0;0
6337;Maladresse;3;2;0;1;0;0
8240;Avarice;3;1;0;0;0;0
8242;Corruption;3;0;0;0;4;1
8272;Échange asynchrone;3;0;0;0;0;0
8273;Marchepied;3;0;0;0;0;0
8274;Marchand d'âge;3;0;0;0;0;0
8275;La binocle;3;0;0;0;0;0
8276;Assurance tous risques;3;0;0;0;0;0
8277;Protection minérale;3;0;0;0;0;0
8278;Optimisation focale;3;0;0;0;0;0
8279;Tunnelier;3;0;0;0;0;0
8280;Héritage;3;0;0;0;0;0
4579;Arnaque;4;3;0;0;0;0
4581;Attaque mortelle;4;0;0;1;0;0
4583;Attaque létale;4;2;0;0;0;0
4584;Kleptosram;4;3;0;0;0;0
4585;Attaque perfide;4;3;0;2;0;0
4586;Mise à mort;4;1;0;0;0;0
4587;Saignée mortelle;4;4;0;3;0;0
