Id;Classe;BreedId;Nom;gfxId;StatsPlates;EffetsScripts;EffetsEtats;EffetsConditionnels;DescEN
6988;FECA;1;Glyphe augmenté;5244;;oui;oui;oui;Glyphs now have a "2-cell circle" size, but cost the Feca 1 additional WP to summon.
6989;FECA;1;Ligne;6989;{"RANGE":1};non;non;non;Initially, the Range of Fire spells is not variable. This passive removes this constraint but adds a straight-line casting requirement.
6990;FECA;1;Un pour tous;2269;;non;non;non;The Feca protects their allies at the expense of the Feca's own protection. Useful for team game configurations in which the Feca is rarely hit.
6991;FECA;1;Maître des boucliers;6691;;oui;oui;non;The Feca can apply the effects of their shields instantly. However, they must wait to use them again.
6992;FECA;1;Qui veut la paix prépare la guerre;2295;;oui;non;non;Limits the Feca's ability to give their allies Armor, while improving the Feca's damage, thereby adopting a purely offensive role.
6993;FECA;1;Marché pacifiste;866;;oui;non;non;Improves the Feca's capability to give Armor while reducing the Feca's likelihood of performing Blocks.
6994;FECA;1;Connaissance de la carte;5104;;non;non;non;This passive makes glyphs much less expensive to use, while restricting the damage they inflict.
6995;FECA;1;La meilleure défense est l’attaque;5245;;oui;oui;oui;This passive rewards the Feca if they attack their targets using classic damage.
6996;FECA;1;Armure de combat;2374;;oui;non;non;Transforms the Feca's damage into protection for allies. The Feca receives less Armor for themselves.
6997;FECA;1;Peau rocheuse;6997;{"BLOCK_PERCENTAGE":30};non;oui;non;The Feca limits their ability to provide support and decides to set off for the front to take hits.
6998;FECA;1;Oeil pour oeil;2324;;non;oui;non;The Feca increases their offensive and protective potential when the situation so requires and their allies are in danger.
6999;FECA;1;Glyphes persistants;6999;;non;non;non;Glyphs now last two turns, but they can no longer be merged. This passive is useful in fixed locations, or when glyph damage is not a priority.
7000;FECA;1;Berger;7000;;non;non;non;The Feca increases the effectiveness of a single shield by concentrating all their attention on it. A true guide needs little guidance to show the way.
7001;FECA;1;Expérience du terrain;2272;;non;oui;non;The Feca increases their resistance to attacks received at the expense of their ability to protect allies. Very useful for solo Fecas!
7002;FECA;1;Boucliers élémentaires;7002;;non;non;non;Fire shields help allies inflict more damage. Earth shields increase their mobility. Water shields increase their range. Each bonus cannot be stacked with itself and lasts 1 turn from when the shield is applied.
7003;FECA;1;Carapace d’épines;685;;oui;oui;non;On each turn, the Feca transforms their favorite form of protection into damage inflicted.
7004;FECA;1;Compréhension du Wakfu;7004;{"GIVEN_ARMOR_PERCENTAGE":100,"RECEIVED_ARMOR_PERCENTAGE":100};oui;non;non;This passive improves the Armors that a Feca gives to their allies or themselves, but the Feca loses one WP each time they do this.
7005;FECA;1;Protecteur du troupeau;7005;;oui;oui;non;This passive reinforces the Feca's tank aspect, and rewards them by regenerating HP for successfully filling that role.
7328;OSAMODAS;2;Rage du Mulou;7328;;non;oui;non;The summons is harder to keep alive but gains bonuses for turns passed on the field.
7329;OSAMODAS;2;Don animal;7329;;non;non;non;The Osamodas regains 1 WP at the start of the turn if their summons is on the field. On the other hand, summoning the same entity again is more difficult.
7330;OSAMODAS;2;Vision du Corbac;7330;{"RANGE":2};non;non;non;Summons no longer hinder line of sight. The Osamodas gains range to better take advantage of this.
7331;OSAMODAS;2;Guerrier invocateur;7331;;oui;non;non;The Osamodas sacrifices some of their summons's power to become stronger.
7332;OSAMODAS;2;Invocateur solitaire;7332;;non;non;oui;At the end of the turn, the Osamodas gains AP for the next turn if their summons isn't on the field.
7333;OSAMODAS;2;Transcendance draconique;7338;;non;oui;non;In dragon form, the first elemental spell cast on the Osamodas or their summons has its area of effect increased.
7334;OSAMODAS;2;Esprit du phénix;7334;;non;non;non;The Osamodas can more quickly re-summmon a creature that has come back in their Gobgob. However, their summons have less HP.
