Id;Classe;Nom;Element;CoutPA;PortMin;PortMax;Area;BaseDmg;CritDmg;LigneDeVue;iconId;EstPassif;DescEN
4769;CRA;Flèche ardente;feu;2;2;5;monocible;60;76;oui;600;non;Steals 1 MP from the target. This spell generates 20 Sharpening and Precision.
4774;CRA;Roulade;;2;1;3;;0;0;oui;617;non;Rolls to the targeted cell. The Cra can use this spell to escape from an enemy that was locking them, or move to a more favorable position to inflict damage.
4805;CRA;Retraite balisée;;2;3;6;;0;0;oui;4805;non;Teleports to the targeted cell, if the targeted cell is adjacent to one of the Cra's Beacons.
4806;CRA;Eclaireur;;2;;;;0;0;oui;4806;non;The caster gains damage and converts all their Precision into Sharpening.
4808;CRA;Frappe incisive;;2;4;6;;0;0;oui;4808;non;Stabilizes the target, which therefore cannot be pushed, attracted, teleported or carried for 1 turn. In addition, healing received by the target will decrease for 1 turn.
4809;CRA;Flèche tempête;air;3;3;6;zone;91;114;oui;899;non;Inflicts Air damage in a cone-shaped area of effect. This spell generates 30 Sharpening and Precision.
4810;CRA;Flèche de recul;air;3;1;1;monocible;121;152;oui;612;non;Repels the target by several cells. This spell generates 40 Sharpening and Precision.
4811;CRA;Flèche harcelante;air;4;2;6;monocible;111;139;non;608;non;This spell does not require line of sight. It can pass through obstacles to inflict damage on hidden targets. This spell generates 40 Sharpening and Precision.
4812;CRA;Flèche statique;air;5;1;1;monocible;182;228;oui;890;non;If the caster has not moved using MP during their turn, this spell inflicts increased damage. This spell generates 60 Sharpening and Precision.
4813;CRA;Flèche chercheuse;air;2;4;9;monocible;55;69;oui;594;non;This spell has a very long range. It can also pass through obstacles if the Cra is in Precision Shot. This spell generates 20 Sharpening and Precision.
4814;CRA;Flèche destructrice;terre;6;1;1;monocible;295;369;oui;598;non;Inflicts heavy Earth damage. This spell generates 70 Sharpening and Precision.
4815;CRA;Flèche perçante;terre;5;2;4;monocible;139;174;oui;599;non;The damage from this spell is inflicted as rebounds. If the spell targets an enemy A, the spell rebounds to an enemy B within 3 cells or less from enemy A. It then rebounds again to an enemy C within 3 cells or less from fighter B. Beacons can be triggered using this spell. This spell generates 50 Sharpening and Precision.
4816;CRA;Flèche cinglante;terre;3;2;4;monocible;76;95;oui;593;non;Reduces the target's MP. This spell generates 30 Sharpening and Precision.
4817;CRA;Pluie de flèches;terre;4;4;6;monocible;141;176;oui;597;non;Inflicts Earth damage. At the start of the Cra's next turn, the spell is replicated on the targeted cell. This will inflict additional damage if the target has not moved, for example. This spell generates 40 Sharpening and Precision.
4818;CRA;Flèche criblante;terre;3;1;1;monocible;105;132;oui;607;non;In addition to the damage inflicted by this spell, the Cra marks their target and inflicts damage on it each time they consume Precision. This spell generates 40 Sharpening and Precision.
4819;CRA;Flèche explosive;feu;5;1;1;monocible;139;174;oui;606;non;Inflicts heavy Fire damage in a 2-cell circle. This spell generates 60 Sharpening and Precision.
4820;CRA;Flèche fulminante;feu;3;2;5;monocible;98;123;oui;601;non;Inflicts considerable Fire damage on the target. This spell generates 30 Sharpening and Precision.
4821;CRA;Flèche enflammée;feu;4;2;5;zone;121;152;oui;4821;non;Inflicts damage in an area of effect, hitting 5 cells in a vertical line from the cell where the spell is cast. In addition, enemies hit by this spell take greater indirect damage (poisons, traps, etc.) for one turn. This spell generates 40 Sharpening and Precision.
4822;CRA;Flèche d'immolation;feu;2;2;5;zone;60;76;oui;604;non;Inflicts Fire damage in a cross-shaped area of effect. The spell inflicts double damage on targeted summons. This spell generates 20 Sharpening and Precision.
6842;CRA;Rafale;;1;1;1;;0;0;oui;654;non;The Cra unlocks 3 luminous arrows to use whenever needed. Light damage draws on the element of the caster's best mastery.
6945;CRA;Archer futé;;;;;;0;0;oui;4801;oui;Each Sharpened Arrowhead that the Cra gains gives them a Luminous Arrow. In exchange, the Luminous Arrow spell will now have non-modifiable range.
6946;CRA;éclaireur spécialisé;;;;;;0;0;oui;1420;oui;The Evasive state heals the Cra's missing HP. However, the area required to be Evasive becomes larger.
6947;CRA;Balises discrètes;;;;;;0;0;non;615;oui;Cra Beacons no longer block line of sight. When Beagon is cast, targets aligned with the beacon are pushed back.
6948;CRA;Parti pris;;;;;;0;0;oui;5072;oui;When the Cra obtains their Sharpened Arrowhead, they convert MP into AP if they are in Precision Shot. If they have not cast Precision Shot, they convert AP to MP instead.
6949;CRA;Distance focale;;;;;;0;0;oui;7330;oui;The Cra can naturally cast their elemental spells 2 cells farther. In return, the minimum range of their elemental spells also increases by 2.
6950;CRA;Précision vorace;;;;;;0;0;oui;5122;oui;When the Cra is affected by Precision Shot, their spells that consume Precision steal 25% of the damage inflicted. However, Precision Shot can only be cast once per turn.
6951;CRA;La voie de l'arc;;;;;;0;0;oui;5077;oui;When the Cra removes MP from a target, they generate Precision and Sharpening. They no longer gain any at end of turn when Evasive.
6952;CRA;Débalisage massif;;;;;;0;0;oui;615;oui;The Beagon spell immediately destroys all the Cra's beacons to generate Sharpening and Precision.
6953;CRA;étude balistique;;;;;;0;0;oui;620;oui;Beacons' redirected damage is no longer applied to allies in addition, allies hit by a Beacon gain 1 Range. However, the Cra can now only summon one beacon in each element.
6955;CRA;Paradoxe du Crâ;;;;;;0;0;oui;2076;oui;To be able to acquire the Evasive bonus, the Cra must have at least one enemy within 3 cells or less.
6956;CRA;éclaireur intouchable;;;;;;0;0;oui;588;oui;The Cra gains Force of Will. In return, their Dodge is reduced to 0 at the start of the fight.
6957;CRA;Instinct du chasseur;feu;;;;;0;0;oui;6930;oui;The Cra's single-target spells have different effects on their Beacons. In exchange, their Beacons must be spaced farther apart when placed.
6958;CRA;Balisage rapproché;;;;;;0;0;oui;610;oui;The Cra can remove their Beacons for free. However, the summoning range of the Beacons can no longer be modified.
6959;CRA;Tireur solitaire;;;;;;0;0;oui;5073;oui;The Cra can gain bonuses when Evasive reaches level 40 or higher. However, the state also requires that there be no allies around the Cra.
6960;CRA;Esprit affûté;;;;;;0;0;oui;852;oui;The Cra gains Sharpening when they cast their Precision Shot. However, they can no longer increase their Precision level above 200.
6961;CRA;L'art des Balises;;;;;;0;0;non;3362;oui;Beacons can be cast without line of sight but cost 1 WP more.
6962;CRA;Tir divergent;;;;;;0;0;oui;586;oui;When the Sharpened Arrowhead is consumed, the caster and the target of the spell suffer an MP removal.
6963;CRA;Perforation Crâ;;;;;;0;0;oui;619;oui;When the Cra has the Sharpened Arrowhead, their next single-target spell runs through the target and inflicts damage in a straight line. In return, their Sharpened Arrowhead no longer gives them damage inflicted.
7753;CRA;œil de taupe;;2;1;1;;0;0;oui;7753;non;Removes 4 Range from enemies in an area of effect. Their spells can hit less distant targets. However, if the spell is cast on the Cra, they and their adjacent allies gain 4 Range.
7795;CRA;Pointe protectrice;;;;;;0;0;oui;6997;oui;If the Cra ends their turn with Sharpening, that state is consumed to give the Cra elemental resistance for the following turn.
